date,account_value,reward,daily_volatility,trade_count,fear_greed,fear_greed_norm,fear_greed_mapped,window
2021-07-14,1077282.67,0.160126000642777,14944.2965546146,0,21,-0.58,-2,2
2021-07-15,1100640.18,2.33575105667114,14516.2016937865,0,20,-0.6,-2,2
2021-07-16,1054586.55,-4.60536289215088,14295.3081343985,0,22,-0.56,-2,2
2021-07-17,1046371.39,-0.82151597738266,14354.9842776252,0,15,-0.7,-2,2
2021-07-18,1051871.37,0.549997985363007,14478.03761499,0,19,-0.62,-2,2
2021-07-19,976821.01,-7.50503587722778,14057.1809648806,0,24,-0.52,-2,2
2021-07-20,920776.91,-5.60441017150879,13574.2261335329,0,19,-0.62,-2,2
2021-07-21,1021099.33,10.0322418212891,14630.1156354517,0,10,-0.8,-2,2
2021-07-22,1021447.43,0.0348099991679192,14691.3000525776,0,21,-0.58,-2,2
2021-07-23,1042020.14,2.05727100372314,15302.1813741208,0,23,-0.54,-2,2
2021-07-24,1049991.63,0.797149002552033,15582.3906166352,0,22,-0.56,-2,2
2021-07-25,1053472.63,0.348100006580353,16109.754608647,0,27,-0.46,-1,2
2021-07-26,1058485.27,0.501263976097107,16975.3395758435,0,26,-0.48,-1,2
2021-07-27,1091485.15,3.29998803138733,18003.0019361482,0,32,-0.36,-1,2
2021-07-28,1092599.07,0.111391998827457,18267.1327671166,0,50,0,1,2
2021-07-29,1103842.7,1.12436294555664,18247.0669486852,0,50,0,1,2
2021-07-30,1123162.25,1.93195497989655,19259.7975625412,0,53,0.06,1,2
2021-07-31,1157276.05,3.41138005256653,18891.7131700054,0,60,0.2,1,2
2021-08-01,1158007.06,0.0731009989976883,18125.2829672777,0,60,0.2,1,2
2021-08-02,1150905.82,-0.710124015808106,17786.3836751269,0,48,-0.04,-1,2
2021-08-03,1126121.1,-2.47847199440002,17366.2938966282,0,48,-0.04,-1,2
2021-08-04,1165595.64,3.94745397567749,18030.962853098,0,42,-0.16,-1,2
2021-08-05,1176525.98,1.09303402900696,18544.6357924447,0,50,0,1,2
2021-08-06,1192120.86,1.55948805809021,19459.0892595797,0,52,0.04,1,2
2021-08-07,1240123.85,4.80029916763306,20215.2924245192,0,69,0.38,1,2
2021-08-08,1190032.26,-5.00915908813477,19884.3038785493,0,74,0.48,1,2
2021-08-09,1233649.19,4.36169290542603,21006.8682154216,0,65,0.3,1,2
2021-08-10,1294914.79,6.12656021118164,20691.7305542883,0,71,0.42,1,2
2021-08-11,1361193.03,6.62782382965088,20647.9840599598,0,70,0.4,1,2
2021-08-12,1342743.73,-1.84493005275726,20150.3383243921,0,70,0.4,1,2
2021-08-13,1430116.83,8.7373104095459,21685.8409198096,0,70,0.4,1,2
2021-08-14,1422841.54,-0.727528989315033,21354.6702427991,0,76,0.52,2,2
2021-08-15,1441569.32,1.87277805805206,21299.3614191897,0,71,0.42,1,2
2021-08-16,1447382.59,0.581327021121979,20828.3031371006,0,72,0.44,1,2
2021-08-17,1398927.07,-4.84555196762085,20293.2896334445,0,72,0.44,1,2
2021-08-18,1379259.42,-1.96676504611969,20298.5322617923,0,73,0.46,1,2
2021-08-19,1501512.14,12.2252721786499,21220.792232554,0,70,0.4,1,2
2021-08-20,1583872.6,8.23604583740234,22399.1814349101,0,70,0.4,1,2
2021-08-21,1562325.21,-2.15473890304565,22178.2584754294,0,78,0.56,2,2
2021-08-22,1562116.35,-0.0208860002458096,22371.6321886108,0,76,0.52,2,2
2021-08-23,1737489.13,17.5372772216797,22458.3787128234,0,79,0.58,2,2
2021-08-24,1641970.49,-9.55186367034912,21643.3257461977,0,79,0.58,2,2
2021-08-25,1751865.66,10.9895172119141,22234.8815616909,0,73,0.46,1,2
2021-08-26,1664527.37,-8.7338285446167,21267.4621093449,0,75,0.5,2,2
2021-08-27,1721615.77,5.70883989334106,22272.5712751631,0,71,0.42,1,2
2021-08-28,1692723.47,-2.88923001289368,22198.7383125903,0,78,0.56,2,2
2021-08-29,1670096.97,-2.26265001296997,22144.8777636911,0,72,0.44,1,2
2021-08-30,1602565.57,-6.75313997268677,21308.2433734005,0,73,0.46,1,2
2021-09-02,989199.12,-1.08008801937103,22249.6303814753,1,74,0.48,1,3
2021-09-03,1028946.81,3.974769115448,22570.4373192078,0,74,0.48,1,3
2021-09-04,1015220.82,-1.37259900569916,22539.797064576,0,72,0.44,1,3
2021-09-05,1032125.79,1.6904970407486,23390.6846441403,0,73,0.46,1,3
2021-09-06,1025987.07,-0.613871991634369,23824.7226732741,0,79,0.58,2,3
2021-09-07,897522.87,-12.8464202880859,21219.2999723873,0,79,0.58,2,3
2021-09-08,914339.1,1.68162298202515,20822.9409253678,0,47,-0.06,-1,3
2021-09-09,895006.83,-1.93322694301605,21000.1447216352,0,45,-0.1,-1,3
2021-09-10,838612.56,-5.63942718505859,20324.3179442597,0,46,-0.08,-1,3
2021-09-11,853841.91,1.52293503284454,20462.8970204628,0,31,-0.38,-1,3
2021-09-12,889598.91,3.57570004463196,20831.7471725585,0,32,-0.36,-1,3
2021-09-13,858576.45,-3.10224604606628,20350.9702882628,0,44,-0.12,-1,3
2021-09-14,897470.67,3.88942193984985,21337.0950086041,0,30,-0.4,-1,3
2021-09-15,944236.65,4.676598072052,21770.06841375,0,49,-0.02,-1,3
2021-09-16,932342.88,-1.18937695026398,21600.9944842012,0,53,0.06,1,3
2021-09-17,888450.51,-4.38923692703247,21435.1044368225,0,48,-0.04,-1,3
2021-09-18,897802.14,0.935163021087647,21893.6810695466,0,50,0,1,3
2021-09-19,869869.92,-2.79322195053101,21422.2974235305,0,53,0.06,1,3
2021-09-20,778170.18,-9.1699743270874,19519.3622902958,0,50,0,1,3
2021-09-21,723000,-5.51701784133911,18495.7040662624,0,27,-0.46,-1,3
2021-09-22,804176.22,8.11762237548828,19742.8336599908,0,21,-0.58,-2,3
2021-09-23,823902.6,1.9726380109787,20347.6689369656,0,27,-0.46,-1,3
2021-09-24,765446.43,-5.84561681747437,19435.5790447639,0,33,-0.34,-1,3
2021-09-25,763671.63,-0.17747999727726,19372.5525353286,0,28,-0.44,-1,3
2021-09-26,799595.67,3.59240388870239,19575.4746449843,0,27,-0.46,-1,3
2021-09-27,764679.09,-3.49165797233582,19129.0524366827,0,26,-0.48,-1,3
2021-09-28,733181.61,-3.14974808692932,18627.839191909,0,25,-0.5,-1,3
2021-09-29,745067.55,1.18859398365021,18843.4876806221,0,24,-0.52,-2,3
2021-09-30,784259.31,3.91917610168457,19888.9246098096,0,20,-0.6,-2,3
2021-10-01,864986.61,8.07273006439209,21846.517992654,0,27,-0.46,-1,3
2021-10-02,885305.46,2.03188490867615,21589.9958485282,0,54,0.08,1,3
2021-10-03,893127.63,0.782217025756836,21848.7279841067,0,49,-0.02,-1,3
2021-10-04,884927.01,-0.820061981678009,22338.9269744458,0,54,0.08,1,3
2021-10-05,918585.57,3.36585593223572,23365.0761237541,0,59,0.18,1,3
2021-10-06,934146.39,1.55608201026917,25163.2975581991,0,68,0.36,1,3
2021-10-07,937429.77,0.328337997198105,24439.5004765323,0,76,0.52,2,3
2021-10-08,931077.03,-0.635273993015289,24527.9086428043,0,74,0.48,1,3
2021-10-09,934128.12,0.305108994245529,24994.6758963869,0,72,0.44,1,3
2021-10-10,892211.52,-4.19165992736816,24896.8594040667,0,71,0.42,1,3
2021-10-11,925593.42,3.33819007873535,26191.1700718981,0,71,0.42,1,3
2021-10-12,912371.16,-1.32222604751587,25499.9258907015,0,78,0.56,2,3
2021-10-13,942636.72,3.02655601501465,26113.2329187943,0,70,0.4,1,3
2021-10-14,990504.12,4.78673982620239,26064.3817158939,0,70,0.4,1,3
2021-10-15,1010906.49,2.04023694992065,28083.0998891413,0,71,0.42,1,3
2021-10-16,1000719.66,-1.01868295669556,27718.5447434076,0,78,0.56,2,3
2021-10-17,1005127.95,0.440829008817673,28020.9444118697,0,79,0.58,2,3
2021-10-18,978534.66,-2.65932893753052,28266.0819016196,0,78,0.56,2,3
2021-10-19,1013004.93,3.44702696800232,29305.9658083064,0,75,0.5,2,3
2021-10-20,1087160.25,7.41553211212158,30051.5791208349,0,82,0.64,2,3
2021-10-21,1058930.49,-2.82297611236572,28289.6638341761,0,84,0.68,2,3
2021-10-22,1037844.3,-2.10861897468567,27596.3389734073,0,75,0.5,2,3
2021-10-23,1088718.42,5.08741188049316,27834.8272228312,0,74,0.48,1,3
2021-10-24,1066588.23,-2.21301889419556,27650.8781481397,0,73,0.46,1,3
2021-10-25,1102616.67,3.60284399986267,28667.1190771343,0,72,0.44,1,3
2021-10-26,1079426.82,-2.31898498535156,27393.4103360332,0,76,0.52,2,3
2021-10-27,1024742.1,-5.46847200393677,26544.0764043321,0,73,0.46,1,3
2021-10-28,1119751.32,9.50092220306397,27473.2812939558,0,66,0.32,1,3
2021-10-29,1154430.39,3.4679069519043,28224.8253191103,0,70,0.4,1,3
2021-10-30,1129319.58,-2.5110809803009,28060.1048757773,0,73,0.46,1,3
2021-10-31,1120061.91,-0.925767004489899,27805.3104191751,0,74,0.48,1,3
2021-11-02,1005520.35,0.552034914493561,28637.0971053636,1,73,0.46,1,4
2021-11-03,1030902.35,2.53819990158081,28478.3726579112,0,76,0.52,2,4
2021-11-04,1013316.25,-1.75861001014709,27789.310063717,0,73,0.46,1,4
2021-11-05,1101428.05,8.81118011474609,27573.5324462717,0,73,0.46,1,4
2021-11-06,1156543.25,5.51151990890503,27807.4719234681,0,71,0.42,1,4
2021-11-07,1178117.95,2.15746998786926,28632.8916036168,0,73,0.46,1,4
2021-11-08,1185188.65,0.707069993019104,30591.7507622957,0,75,0.5,2,4
2021-11-09,1151648.15,-3.35404992103577,30340.4831800927,0,84,0.68,2,4
2021-11-10,1113756.45,-3.78917002677918,29395.8391515492,0,75,0.5,2,4
2021-11-11,1139682.35,2.59259009361267,29322.0785551836,0,77,0.54,2,4
2021-11-12,1136962.85,-0.271950006484985,29026.9499249604,0,74,0.48,1,4
2021-11-13,1177936.65,4.0973801612854,29146.9288289079,0,72,0.44,1,4
2021-11-14,1180293.55,0.235689997673035,29686.5313084346,0,74,0.48,1,4
2021-11-15,1149472.55,-3.08209991455078,28804.1413700754,0,72,0.44,1,4
2021-11-16,1067706.25,-8.1766300201416,27221.1851385901,0,71,0.42,1,4
2021-11-17,1048307.15,-1.93991005420685,27341.9426738518,0,52,0.04,1,4
2021-11-18,964546.55,-8.37605953216553,25790.3677805856,0,54,0.08,1,4
2021-11-19,1053746.15,8.91996002197266,26260.6636465722,0,34,-0.32,-1,4
2021-11-20,1095989.05,4.224289894104,27008.7720975501,0,43,-0.14,-1,4
2021-11-21,1059185.15,-3.68038988113403,26535.7730965004,0,49,-0.02,-1,4
2021-11-22,1014404.05,-4.47810983657837,25461.0142262143,0,50,0,1,4
2021-11-23,1072057.45,5.76533985137939,26008.1325553147,0,33,-0.34,-1,4
2021-11-24,1070607.05,-0.14504000544548,25833.5148700473,0,42,-0.16,-1,4
2021-11-25,1159081.45,8.84743976593018,26624.3271589687,0,32,-0.36,-1,4
2021-11-26,1065168.05,-9.39134025573731,24276.9648647799,0,47,-0.06,-1,4
2021-11-27,1088011.85,2.28437995910645,24730.2783699043,0,21,-0.58,-2,4
2021-11-28,1108680.05,2.06681990623474,25886.9772479798,0,27,-0.46,-1,4
2021-11-29,1130617.35,2.1937301158905,26088.1447229235,0,33,-0.34,-1,4
2021-11-30,1128985.65,-0.163169994950295,25660.8787319686,0,40,-0.2,-1,4
2021-12-01,1138050.65,0.906499981880188,25779.3393159927,0,34,-0.32,-1,4
2021-12-02,1124271.85,-1.37787997722626,25465.2737914609,0,32,-0.36,-1,4
2021-12-03,1079128.15,-4.51436996459961,24179.1022116156,0,31,-0.38,-1,4
2021-12-04,1031264.95,-4.78632020950317,22113.7372625348,0,25,-0.5,-1,4
2021-12-05,1011684.55,-1.95803999900818,22214.7892920775,0,18,-0.64,-2,4
2021-12-06,1065530.65,5.38461017608643,22667.3743234961,0,16,-0.68,-2,4
2021-12-07,1049576.25,-1.59544003009796,22747.393713603,0,25,-0.5,-1,4
2021-12-08,1101246.75,5.16704988479614,22657.4469301243,0,28,-0.44,-1,4
2021-12-09,1034165.75,-6.70809984207153,21359.9205617754,0,29,-0.42,-1,4
2021-12-10,1001894.35,-3.22713994979858,21217.3144214059,0,24,-0.52,-2,4
2021-12-11,1023831.65,2.1937301158905,22232.3571865708,0,16,-0.68,-2,4
2021-12-12,1034347.05,1.05154001712799,22534.6713711708,0,27,-0.46,-1,4
2021-12-13,944966.15,-8.93809032440186,21043.8285674864,0,28,-0.44,-1,4
2021-12-14,957838.45,1.28723001480103,21797.6510544615,0,21,-0.58,-2,4
2021-12-15,981407.45,2.35689997673035,22006.1821363018,0,28,-0.44,-1,4
2021-12-16,954393.75,-2.70137000083923,21442.9788054878,0,29,-0.42,-1,4
2021-12-17,953124.65,-0.126910001039505,20754.2573407771,0,23,-0.54,-2,4
2021-12-18,968353.85,1.52292001247406,21065.2647940733,0,24,-0.52,-2,4
2021-12-19,960920.55,-0.743330001831055,21001.7056988464,0,29,-0.42,-1,4
2021-12-20,950405.15,-1.05154001712799,21108.5034289328,0,25,-0.5,-1,4
2021-12-21,958201.05,0.779590010643005,22022.2733546234,0,27,-0.46,-1,4
2021-12-22,967809.95,0.960889995098114,21886.1871389854,0,45,-0.1,-1,4
2021-12-23,995730.15,2.79202008247376,22913.3771350668,0,34,-0.32,-1,4
2021-12-24,983220.45,-1.25097000598907,22919.9584675967,0,41,-0.18,-1,4
2021-12-25,992829.35,0.960889995098114,22710.666529779,0,39,-0.22,-1,4
2021-12-26,991016.35,-0.18129999935627,22894.289198203,0,37,-0.26,-1,4
2021-12-27,1022381.25,3.13649010658264,22860.4629045496,0,40,-0.2,-1,4
2021-12-28,968897.75,-5.34835004806519,21433.7846637141,0,41,-0.18,-1,4
2021-12-29,933181.65,-3.57160997390747,20965.3591229347,0,27,-0.46,-1,4
2021-12-30,940433.65,0.725199997425079,21256.4471719623,0,22,-0.56,-2,4
2022-01-03,973409.64,-2.65903639793396,20928.8198589733,3,29,-0.42,-1,5
2022-01-04,962930.38,-1.04792535305023,20637.22111172,1,23,-0.54,-2,5
2022-01-05,906538.25,-5.63921308517456,19576.8477887978,1,24,-0.52,-2,5
2022-01-06,900012.68,-0.652557194232941,19431.7674465128,1,15,-0.7,-2,5
2022-01-07,860197.65,-3.98150277137756,18768.5761324069,1,18,-0.64,-2,5
2022-01-08,843408.88,-1.67887675762177,18851.5957343793,0,10,-0.8,-2,5
2022-01-09,854075.03,1.066614985466,18921.292978963,0,23,-0.54,-2,5
2022-01-10,840106.79,-1.39682412147522,18919.7567326403,0,23,-0.54,-2,5
2022-01-11,886425.58,4.63187837600708,19303.1993094277,0,21,-0.58,-2,5
2022-01-12,921705.57,3.52799963951111,19821.3095103651,0,22,-0.56,-2,5
2022-01-13,895336.65,-2.63689255714417,19220.3891232034,0,21,-0.58,-2,5
2022-01-14,914585.36,1.92487192153931,19437.6604282328,0,21,-0.58,-2,5
2022-01-15,919142.87,0.455750435590744,19444.0115719131,0,23,-0.54,-2,5
2022-01-16,922989.91,0.38470458984375,19432.6079989577,0,21,-0.58,-2,5
2022-01-17,891411.41,-3.15785098075867,19058.2254537095,0,22,-0.56,-2,5
2022-01-18,888898.24,-0.251316696405411,19140.5807959999,0,24,-0.52,-2,5
2022-01-19,872467.64,-1.64305973052979,18833.382847565,0,24,-0.52,-2,5
2022-01-20,841952.34,-3.05153059959412,18395.6949724277,0,24,-0.52,-2,5
2022-01-21,743416.74,-9.85355949401856,16508.77951245,0,19,-0.62,-2,5
2022-01-22,704584.34,-3.88324022293091,15901.9393665832,0,13,-0.74,-2,5
2022-01-23,741088.6,3.65042614936829,16420.4958113877,0,11,-0.78,-2,5
2022-01-24,732643.41,-0.84451961517334,16640.8222288383,0,13,-0.74,-2,5
2022-01-25,748440.16,1.57967519760132,16773.3770122027,0,12,-0.76,-2,5
2022-01-26,737864.15,-1.05760049819946,16704.9057576649,0,23,-0.54,-2,5
2022-01-27,754460.92,1.65967690944672,16874.5879396111,0,20,-0.6,-2,5
2022-01-28,757700.87,0.323995381593704,17111.6567868826,0,24,-0.52,-2,5
2022-01-29,765929.38,0.822850823402405,17310.6724821443,0,24,-0.52,-2,5
2022-01-30,752031.65,-1.389772772789,17179.5239129171,0,29,-0.42,-1,5
2022-01-31,756172.64,0.414099007844925,17437.5075185367,0,20,-0.6,-2,5
2022-02-01,768593.38,1.24207353591919,17520.7782592954,0,26,-0.48,-1,5
2022-02-02,733640.62,-3.49527597427368,16701.5249525991,0,28,-0.44,-1,5
2022-02-03,742887.07,0.924645125865936,16892.4293907202,0,20,-0.6,-2,5
2022-02-04,813647.25,7.07601737976074,18828.040282899,0,20,-0.6,-2,5
2022-02-05,824892.3,1.12450504302979,18730.4172835352,0,33,-0.34,-1,5
2022-02-06,841002.66,1.61103582382202,19189.6718182331,0,37,-0.26,-1,5
2022-02-07,868945.91,2.79432535171509,19854.9047382404,0,45,-0.1,-1,5
2022-02-08,847252.88,-2.16930317878723,19961.9914477995,0,48,-0.04,-1,5
2022-02-09,865739.2,1.84863173961639,20086.2625498745,0,54,0.08,1,5
2022-02-10,847592.23,-1.81469619274139,19711.8940217835,0,50,0,1,5
2022-02-11,821356.7,-2.62355399131775,19218.5800553082,0,50,0,1,5
2022-02-12,822990.34,0.163364753127098,19146.1351601349,0,44,-0.12,-1,5
2022-02-13,815617.77,-0.73725700378418,19080.501580326,0,44,-0.12,-1,5
2022-02-14,826107.97,1.04902005195618,19293.5903504253,0,46,-0.08,-1,5
2022-02-15,875471.34,4.93633699417114,20177.6505490098,0,46,-0.08,-1,5
2022-02-16,863427.62,-1.20437228679657,19876.0205176858,0,51,0.02,1,5
2022-02-17,804575.7,-5.88519239425659,18350.9820555855,0,52,0.04,1,5
2022-02-18,795004.58,-0.957111895084381,18120.9835498874,0,30,-0.4,-1,5
2022-02-19,796425.45,0.142086789011955,18173.5143710639,0,25,-0.5,-1,5
2022-02-20,760411.23,-3.60142135620117,17412.0966275562,0,27,-0.46,-1,5
2022-02-21,724113.55,-3.62976861000061,16780.7776010715,0,25,-0.5,-1,5
2022-02-22,753249.79,2.91362476348877,17336.9588825036,0,20,-0.6,-2,5
2022-02-23,734879.4,-1.83703899383545,16889.8118081424,0,25,-0.5,-1,5
2022-02-24,741814.73,0.693532526493073,17394.501736469,0,23,-0.54,-2,5
2022-02-25,765231.63,2.34169030189514,17774.0460279445,0,27,-0.46,-1,5
2022-02-26,763140.76,-0.209087550640106,17723.8228431422,0,26,-0.48,-1,5
2022-02-27,734755.3,-2.83854532241821,17094.6960598745,0,26,-0.48,-1,5
2022-02-28,825128.84,9.037353515625,19591.2464718444,0,20,-0.6,-2,5
2022-03-01,850312.9,2.51840543746948,20169.7521865011,0,51,0.02,1,5
2022-03-02,845259.28,-0.505361199378967,19927.1467016028,0,52,0.04,1,5
2022-03-05,1027956.01,2.79560136795044,17877.7771378827,1,22,-0.56,-2,6
2022-03-06,1002037.61,-2.59184002876282,17444.650124674,0,22,-0.56,-2,6
2022-03-07,1017000.81,1.49632000923157,17252.3728453824,0,23,-0.54,-2,6
2022-03-08,1019138.41,0.213760003447533,17583.5750972112,0,21,-0.58,-2,6
2022-03-09,1050668.01,3.15296006202698,19059.9063227306,0,22,-0.56,-2,6
2022-03-10,994021.61,-5.66463994979858,17904.8804587526,0,28,-0.44,-1,6
2022-03-11,993754.41,-0.0267200004309416,17589.6113492993,0,22,-0.56,-2,6
2022-03-12,995090.41,0.133599996566772,17623.5434513519,0,22,-0.56,-2,6
2022-03-13,965698.41,-2.93919992446899,17152.8427861008,0,21,-0.58,-2,6
2022-03-14,997762.41,3.20639991760254,18025.6388510076,0,23,-0.54,-2,6
2022-03-15,993220.01,-0.454239994287491,17835.8950745643,0,21,-0.58,-2,6
2022-03-16,1029826.41,3.660640001297,18662.1825850039,0,24,-0.52,-2,6
2022-03-17,1046927.21,1.71008002758026,18560.0750530834,0,27,-0.46,-1,6
2022-03-18,1061356.01,1.44288003444672,18926.8137643767,0,25,-0.5,-1,6
2022-03-19,1068570.41,0.721440017223358,19132.3907708617,0,28,-0.44,-1,6
2022-03-20,1044255.21,-2.43151998519897,18711.8020130653,0,31,-0.38,-1,6
2022-03-21,1058149.61,1.38943994045258,18582.037437721,0,30,-0.4,-1,6
2022-03-22,1080327.21,2.21776008605957,19203.9757032658,0,26,-0.48,-1,6
2022-03-23,1091282.41,1.09552001953125,19432.9040023107,0,31,-0.38,-1,6
2022-03-24,1106780.01,1.54975998401642,19937.3481392508,0,40,-0.2,-1,6
2022-03-25,1096359.21,-1.0420800447464,20091.6104332287,0,47,-0.06,-1,6
2022-03-26,1111055.21,1.4695999622345,20174.3161824738,0,51,0.02,1,6
2022-03-27,1150333.61,3.92783999443054,21228.8049097923,0,49,-0.02,-1,6
2022-03-28,1149532.01,-0.0801599994301796,21359.5450948818,0,60,0.2,1,6
2022-03-29,1160220.01,1.06879997253418,21491.2749510126,0,56,0.12,1,6
2022-03-30,1181328.81,2.11087989807129,21319.718379285,0,55,0.1,1,6
2022-03-31,1146058.41,-3.52704000473022,20612.1531018706,0,52,0.04,1,6
2022-04-01,1196292.01,5.02335977554321,20934.3585977232,0,50,0,1,6
2022-04-02,1168236.01,-2.80559992790222,20717.1516904279,0,52,0.04,1,6
2022-04-03,1203506.41,3.52704000473022,20977.8623817697,0,48,-0.04,-1,6
2022-04-04,1196024.81,-0.748160004615784,21060.5807055588,0,52,0.04,1,6
2022-04-05,1188276.01,-0.774879992008209,20575.4700129391,0,53,0.06,1,6
2022-04-06,1122544.81,-6.5731201171875,19537.1574655595,0,48,-0.04,-1,6
2022-04-07,1165029.61,4.24847984313965,19649.4337992846,0,34,-0.32,-1,6
