date,open,high,low,close,volume,tic
2018-05-04,0.5,1.5,0.5,0.8899,20890213.82,XRP-USD
2018-05-05,0.8898,0.935,0.888,0.9028,16816165.3,XRP-USD
2018-05-06,0.9028,0.918,0.83774,0.86483,16002035.8,XRP-USD
2018-05-07,0.86482,0.86886,0.8,0.8249,17303486.4,XRP-USD
2018-05-08,0.8249,0.84802,0.792,0.80667,12971303.18,XRP-USD
2018-05-09,0.80667,0.81894,0.7569,0.79481,13982375.89,XRP-USD
2018-05-10,0.79481,0.80572,0.74085,0.74558,10136895.73,XRP-USD
2018-05-11,0.7492,0.75602,0.64758,0.6761,31292480.04,XRP-USD
2018-05-12,0.67376,0.71,0.62519,0.68522,18181151.11,XRP-USD
2018-05-13,0.68192,0.7501,0.66456,0.72999,17521261.77,XRP-USD
2018-05-14,0.72999,0.7499,0.68585,0.72694,21771364.96,XRP-USD
2018-05-15,0.72695,0.74892,0.6801,0.689,12951988.45,XRP-USD
2018-05-16,0.689,0.712,0.65756,0.70585,11182432.7,XRP-USD
2018-05-17,0.70942,0.712,0.6482,0.65849,10070061.14,XRP-USD
2018-05-18,0.65849,0.68255,0.646,0.67766,10140675.13,XRP-USD
2018-05-19,0.67698,0.69139,0.6611,0.67339,6854397.75,XRP-USD
2018-05-20,0.67483,0.70659,0.668,0.6994,8055673.92,XRP-USD
2018-05-21,0.6994,0.705,0.66666,0.67612,7908213.57,XRP-USD
2018-05-22,0.67612,0.67817,0.635,0.63782,7567010.71,XRP-USD
2018-05-23,0.63782,0.64488,0.5731,0.59198,20078062.21,XRP-USD
2018-05-24,0.59053,0.64,0.57617,0.62814,14214140.1,XRP-USD
2018-05-25,0.62966,0.63391,0.59336,0.60459,20060607.91,XRP-USD
2018-05-26,0.60596,0.62618,0.59771,0.60852,25800066.42,XRP-USD
2018-05-27,0.60907,0.648,0.59705,0.60416,23735080.8,XRP-USD
2018-05-28,0.60417,0.6091,0.5434,0.54689,29854808.11,XRP-USD
2018-05-29,0.54689,0.60921,0.54303,0.59998,30948291.22,XRP-USD
2018-05-30,0.5997,0.626,0.58101,0.60149,31305613.07,XRP-USD
2018-05-31,0.60051,0.62255,0.58829,0.6114,33579966.89,XRP-USD
2018-06-01,0.6114,0.62428,0.6024,0.62151,34403361.87,XRP-USD
2018-06-02,0.62236,0.65204,0.61513,0.64269,37211532.2,XRP-USD
2018-06-03,0.64285,0.69101,0.63862,0.6901,37142715.53,XRP-USD
2018-06-04,0.6901,0.707,0.6351,0.65507,48289982.65,XRP-USD
2018-06-05,0.65508,0.686,0.6328,0.67464,42509387.77,XRP-USD
2018-06-06,0.67507,0.6833,0.653,0.6741,34326183.79,XRP-USD
2018-06-07,0.6738,0.69,0.67089,0.67756,35031819.04,XRP-USD
2018-06-08,0.6777,0.68,0.65832,0.6721,32089604.02,XRP-USD
2018-06-09,0.67211,0.68,0.65514,0.6574,31323211.84,XRP-USD
2018-06-10,0.65687,0.6585,0.55,0.58201,47688606.63,XRP-USD
2018-06-11,0.58202,0.6,0.56,0.59989,23744329.91,XRP-USD
