date,account_value,reward,daily_volatility,trade_count,fear_greed,fear_greed_norm,fear_greed_mapped,window
2023-08-22,855711.1014125452,-0.8914761543273926,12210.505,0,,,,16
2023-08-23,872994.3498558764,1.7283248901367188,12376.555,0,,,,16
2023-08-24,864091.5654743183,-0.8902784585952759,12259.445,0,,,,16
2023-08-25,860191.2700023735,-0.39002954959869385,12203.105,0,,,,16
2023-08-26,857834.4414490105,-0.23568286001682281,12185.165,0,,,,16
2023-08-27,862009.623463469,0.4175181984901428,12221.720000000001,0,,,,16
2023-08-28,861109.8828237213,-0.0899740606546402,12233.460000000001,0,,,,16
2023-08-29,907931.2876867219,4.682140350341797,12993.460000000001,0,,,,16
2023-08-30,894716.8237858736,-1.321446418762207,12797.380000000001,0,,,,16
2023-08-31,856146.3208055664,-3.8570501804351807,12147.51,0,,,,16
2023-09-01,849787.1895438744,-0.6359131336212158,12087.965,0,,,,16
2023-09-02,852808.9698211334,0.3021780252456665,12116.239999999998,0,,,,16
2023-07-06,1000000.0,0.0,0.0,0,72.0,0.44,1.0,17
2023-09-05,998654.4475629999,-0.13455525040626526,12078.824999999999,2,,,,17
2023-09-06,997418.447563,-0.12359999865293503,12063.4,0,,,,17
2023-09-07,1016394.907563,1.8976459503173828,12303.445,0,,,,17
2023-09-08,1003175.537563,-1.3219369649887085,12137.03,0,,,,17
2023-09-09,1002827.817563,-0.03477200120687485,12133.035,0,,,,17
2023-09-10,1000348.4975630001,-0.24793200194835663,12112.095000000001,0,,,,17
2023-09-11,973821.807563,-2.6526689529418945,11805.335000000001,0,,,,17
2023-09-12,1000022.167563,2.6200358867645264,12123.565,0,,,,17
2023-09-13,1014695.517563,1.4673349857330322,12307.19,0,,,,17
2023-09-14,1026330.607563,1.1635090112686157,12448.130000000001,0,,,,17
2023-09-15,1029429.887563,0.3099279999732971,12479.355,0,,,,17
2023-09-16,1027821.557563,-0.16083300113677979,12462.635,0,,,,17
2023-09-17,1026468.3575629999,-0.13531999289989471,12452.515,0,,,,17
2023-09-18,1035554.3375629999,0.908598005771637,12562.925,0,,,,17
2023-09-19,1052639.897563,1.708556056022644,12783.57,0,,,,17
2023-09-20,1049170.5575630001,-0.3469339907169342,12751.37,0,,,,17
2023-09-21,1027586.077563,-2.1584479808807373,12492.070000000002,0,,,,17
2023-09-22,1028144.897563,0.05588199943304062,12493.529999999999,0,,,,17
2023-09-23,1027994.637563,-0.015026000328361988,12491.05,0,,,,17
2023-09-24,1015401.9475630001,-1.2592689990997314,12333.835,0,,,,17
2023-09-25,1017630.107563,0.22281600534915924,12358.24,0,,,,17
2023-09-26,1014533.267563,-0.30968400835990906,12313.83,0,,,,17
2023-09-27,1020334.3575630002,0.5801090002059937,12387.175000000001,0,,,,17
2023-09-28,1045571.407563,2.523705005645752,12684.199999999999,0,,,,17
2023-09-29,1041382.127563,-0.41892799735069275,12619.755,0,,,,17
2023-09-30,1043532.7675630001,0.21506400406360626,12645.835000000001,0,,,,17
2023-10-01,1083365.047563,3.9832279682159424,13129.39,0,,,,17
2023-10-02,1063653.4775629998,-1.9711569547653198,12916.055,0,,,,17
2023-10-03,1061006.857563,-0.2646619975566864,12884.789999999999,0,,,,17
2023-10-04,1074273.7375629998,1.3266880512237549,13065.995,0,,,,17
2023-10-05,1059900.207563,-1.4373530149459839,12899.3,0,,,,17
2023-10-06,1080052.447563,2.015223979949951,13143.03,0,,,,17
2023-10-07,1080898.427563,0.08459799736738205,13161.55,0,,,,17
2023-10-08,1079384.837563,-0.15135900676250458,13142.105,0,,,,17
2023-10-09,1066381.687563,-1.300315022468567,13004.994999999999,0,,,,17
2023-10-10,1058644.187563,-0.7737500071525574,12911.244999999999,0,,,,17
2023-10-11,1039081.027563,-1.9563159942626953,12654.325,0,,,,17
2023-10-12,1034377.347563,-0.47036799788475037,12610.01,0,,,,17
2023-10-13,1038405.457563,0.4028109908103943,12654.92,0,,,,17
2023-10-14,1038074.277563,-0.03311799839138985,12648.77,0,,,,17
2023-10-15,1049568.8675630002,1.1494590044021606,12798.19,0,,,,17
2023-10-16,1101198.957563,5.163009166717529,13450.68,0,,,,17
2023-10-17,1096835.3875630002,-0.4363569915294647,13415.449999999999,0,,,,17
2023-10-18,1093933.537563,-0.29018500447273254,13378.279999999999,0,,,,17
2023-10-19,1108928.947563,1.4995410442352295,13573.57,0,,,,17
2023-10-20,1145642.007563,3.6713058948516846,14032.575,0,,,,17
2023-10-21,1155066.437563,0.9424430131912231,14140.43,0,,,,17
2023-10-22,1158589.877563,0.35234400629997253,14164.38,0,,,,17
2023-10-23,1276655.377563,11.806550025939941,15652.265,0,,,,17
2023-10-24,1309274.2175630003,3.2618839740753174,16068.875000000002,0,,,,17
2023-10-25,1331084.247563,2.1810030937194824,16354.45,0,,,,17
2023-10-26,1318175.957563,-1.2908289432525635,16174.140000000001,0,,,,17
2023-10-27,1308045.8575629997,-1.013010025024414,16056.309999999998,0,,,,17
2023-10-28,1315191.897563,0.7146040201187134,16152.4,0,,,,17
2023-10-29,1332306.0575630001,1.7114160060882568,16365.375,0,,,,17
2023-10-30,1330514.8775630002,-0.17911800742149353,16332.845000000001,0,,,,17
2023-10-31,1336848.327563,0.6333450078964233,16412.55,0,,,,17
2023-11-01,1366906.927563,3.0058600902557373,16787.219999999998,0,,,,17
2023-11-02,1348164.917563,-1.8742010593414307,16570.394999999997,0,,,,17
2023-09-05,1000000.0,0.0,0.0,0,71.0,0.42,1.0,18
2023-11-05,1001847.233901093,0.1847233921289444,16560.085,2,,,,18
2023-11-06,1003468.7797622967,0.16215458512306213,16572.57,0,,,,18
2023-11-07,1010542.520346358,0.7073740363121033,16756.925000000003,0,,,,18
2023-11-08,1016182.6193755174,0.5640099048614502,16868.300000000003,0,,,,18
2023-11-09,1062197.7367980194,4.6015119552612305,17289.885,0,,,,18
2023-11-10,1072758.2654237794,1.056052803993225,17611.954999999998,0,,,,18
2023-11-11,1066520.2233232714,-0.6238042116165161,17538.415,0,,,,18
2023-11-12,1064207.2100938796,-0.23130132257938385,17509.725,0,,,,18
2023-11-13,1050618.096564045,-1.358911395072937,17204.64,0,,,,18
2023-11-14,1022365.6416533806,-2.8252453804016113,16785.9,0,,,,18
2023-11-15,1084387.1708189894,6.202152729034424,17899.86,0,,,,18
2023-11-16,1035467.9884155036,-4.891918182373047,17100.87,0,,,,18
2023-11-17,1046150.7543916726,1.0682766437530518,17326.55,0,,,,18
2023-11-18,1045210.4536269737,-0.09403007477521896,17302.75,0,,,,18
2023-11-19,1068386.2921878218,2.3175837993621826,17674.195,0,,,,18
2023-11-20,1071375.5119913365,0.29892197251319885,17713.69,0,,,,18
2023-11-21,1022882.8365474129,-4.849267482757568,16904.320000000003,0,,,,18
2023-11-22,1074046.4105962156,5.116357326507568,17672.565,0,,,,18
2023-11-23,1071232.3503556752,-0.2814060151576996,17616.04,0,,,,18
2023-11-24,1082875.635703354,1.1643285751342773,17816.364999999998,0,,,,18
2023-11-25,1084675.1676176118,0.1799531877040863,17848.789999999997,0,,,,18
2023-11-26,1074904.1551420928,-0.9771012663841248,17692.550000000003,0,,,,18
2023-11-27,1066980.61770087,-0.7923537492752075,17607.6,0,,,,18
2023-11-28,1082547.549944358,1.556693196296692,17885.365,0,,,,18
2023-11-29,1081720.7919424654,-0.08267579972743988,17912.915,0,,,,18
2023-11-30,1080611.4109356808,-0.11093810200691223,17836.0,0,,,,18
2023-12-01,1106591.6679808544,2.5980257987976074,18297.64,0,,,,18
2023-12-02,1131686.356762147,2.5094687938690186,18642.805,0,,,,18
2023-12-03,1146614.9906797386,1.492863416671753,18889.655000000002,0,,,,18
2023-12-04,1199254.5721071698,5.263957977294922,19873.865,0,,,,18
2023-12-05,1253369.002353165,5.41144323348999,20889.995000000003,0,,,,18
