date,account_value,reward,daily_volatility,trade_count,window
2020-11-05,1000000.0,0.0,0.0,0,1
2021-01-05,1020185.7385414534,2.018573760986328,16424.984999999997,1,1
2021-01-06,1110156.9296458396,8.997118949890137,17780.47,2,1
2021-01-07,1169020.131382769,5.886320114135742,19103.705,0,1
2021-01-08,1189892.9811471216,2.087285041809082,19682.94,0,1
2021-01-09,1197784.1532787033,0.7891172170639038,19406.11,0,1
2021-01-10,1151978.3089549849,-4.580584526062012,18447.885,0,1
2021-01-11,1045753.8846956281,-10.622442245483398,17158.73,0,1
2021-01-12,1007208.436487659,-3.8545448780059814,16500.54,0,1
2021-01-13,1098543.008356378,9.13345718383789,18120.745,0,1
2021-01-14,1165242.7295746584,6.669971942901611,18956.440000000002,0,1
2021-01-15,1097521.1361137247,-6.772159576416016,17786.845,0,1
2021-01-16,1100370.131613438,0.2848995625972748,17383.575000000004,0,1
2021-01-17,1098403.8279421777,-0.19663037359714508,17298.079999999998,0,1
2021-01-18,1122522.045123003,2.4118216037750244,17686.409999999996,0,1
2021-01-19,1139947.8087785593,1.7425763607025146,17263.065,0,1
2021-01-20,1134907.8805691605,-0.5039927959442139,17045.62,0,1
2021-01-21,960862.7882234971,-17.404508590698242,14869.585000000001,0,1
2021-01-22,1040114.7057593361,7.925191879272461,15856.275,0,1
2021-01-23,1022866.1979574071,-1.7248507738113403,15422.2,0,1
2021-01-24,1074696.3100683782,5.183011054992676,15433.695000000002,0,1
2021-01-25,1051968.091986836,-2.2728219032287598,15468.16,0,1
2021-01-26,1070860.5231052535,1.8892431259155273,15550.9,0,1
2021-01-27,989875.6324507217,-8.098488807678223,14563.56,0,1
2021-01-28,1078018.5021702955,8.814287185668945,16017.585,0,1
2021-01-29,1111064.47951691,3.3045976161956787,16436.35,0,1
2021-01-30,1110841.2179223262,-0.022326160222291946,16442.414999999997,0,1
2021-01-31,1067324.1350106979,-4.35170841217041,15890.215000000002,0,1
2021-02-01,1094763.7734772936,2.7439639568328857,16076.1,0,1
2021-02-02,1175736.2569056042,8.097248077392578,16977.185,0,1
2021-02-03,1265534.2727249558,8.979801177978516,17977.190000000002,0,1
2021-02-04,1230878.6600040887,-3.4655613899230957,17670.495000000003,0,1
2021-02-05,1295692.1997609246,6.481353759765625,18285.525,0,1
2021-02-06,1300854.6079572295,0.5162408351898193,18755.295000000002,0,1
2021-02-07,1273325.2579741757,-2.7529349327087402,18592.035,0,1
2021-02-08,1468649.3723712666,19.532411575317383,22312.36,0,1
2021-02-09,1475321.925373766,0.6672552824020386,22325.644999999997,0,1
2021-02-10,1434099.2888764665,-4.122263431549072,21533.4,0,1
2021-02-11,1511661.128327501,7.756184101104736,23091.945,0,1
2021-02-12,1514419.9655056628,0.2758837044239044,22723.670000000002,0,1
2021-02-13,1504044.6649092906,-1.0375300645828247,22669.365,0,1
2021-02-14,1528452.8555977684,2.440819025039673,23388.685,0,1
2021-02-15,1508549.2089866446,-1.990364670753479,23065.925,0,1
2021-02-16,1534111.2325784294,2.5562024116516113,23675.729999999996,0,1
2021-02-17,1615102.8914883188,8.099165916442871,25134.915,0,1
2021-02-18,1630816.7466947348,1.5713855028152466,24806.495,0,1
2021-02-19,1723562.2447975501,9.27454948425293,26975.5,0,1
2021-02-20,1709524.9442774183,-1.403730034828186,26964.095,0,1
2021-02-21,1747458.3287419262,3.7933385372161865,27737.52,0,1
2021-02-22,1633013.7197956685,-11.44446086883545,26155.045,0,1
2021-02-23,1467363.442513531,-16.565027236938477,23656.555,0,1
2021-02-24,1497036.8915708954,2.9673449993133545,24026.405,0,1
2021-02-25,1401464.204488217,-9.557269096374512,22795.99,0,1
2021-02-26,1374081.8586886101,-2.738234519958496,22416.14,0,1
2021-02-27,1374735.966720529,0.0654108002781868,22324.149999999998,0,1
2021-02-28,1343292.5304540778,-3.144343614578247,21858.24,0,1
2021-03-01,1479013.1252496461,13.572059631347656,24008.585,0,1
2021-03-02,1430645.1824218552,-4.836794376373291,23476.935,0,1
2021-01-03,1000000.0,0.0,0.0,0,2
2021-03-05,997791.5894034655,-0.22084106504917145,23611.699999999997,2,2
2021-03-06,1051414.414038523,5.3622822761535645,23615.925,0,2
2021-03-07,1098600.8624482425,4.718644618988037,24622.795000000002,0,2
2021-03-08,1154529.6153437314,5.5928754806518555,25270.995,0,2
2021-03-09,1187992.929110983,3.3463313579559326,26506.995000000003,0,2
2021-03-10,1162105.9940655213,-2.588693618774414,27028.235,0,2
2021-03-11,1188627.0825258428,2.652108907699585,27973.690000000002,0,2
2021-03-12,1159035.4690998634,-2.9591612815856934,27727.81,0,2
2021-03-13,1253940.8645902714,9.49053955078125,29633.02,0,2
2021-03-14,1206526.5151887974,-4.7414350509643555,28560.105,0,2
2021-03-15,1159695.2259006673,-4.683128833770752,26905.86,0,2
2021-03-16,1173674.5538732987,1.397932767868042,27547.815,0,2
2021-03-17,1195551.5356983836,2.1876981258392334,28544.695,0,2
2021-03-18,1166293.06784746,-2.925846815109253,27936.04,0,2
2021-03-19,1183195.8779669842,1.6902810335159302,28110.455,0,2
2021-03-20,1182399.185429438,-0.07966925203800201,28148.09,0,2
2021-03-21,1167224.682938593,-1.517450213432312,27784.289999999997,0,2
2021-03-22,1100575.879022549,-6.664880275726318,26201.14,0,2
2021-03-23,1096787.4125084574,-0.3788466453552246,26336.405,0,2
2021-03-24,1045456.6095693477,-5.13308048248291,25360.905000000002,0,2
2021-03-25,1040164.3011272796,-0.5292308330535889,24854.019999999997,0,2
2021-03-26,1114806.2682707673,7.464196681976318,26663.374999999996,0,2
2021-03-27,1126232.3018601593,1.1426033973693848,27052.254999999997,0,2
2021-03-28,1114891.4905326157,-1.1340811252593994,27045.309999999998,0,2
2021-03-29,1183770.5136853107,6.88790225982666,27909.365,0,2
2021-03-30,1201694.0518385204,1.792353868484497,28453.055,0,2
2021-03-31,1235741.5801556092,3.404752731323242,28410.590000000004,0,2
2021-04-01,1256632.4018261512,2.0890822410583496,28376.195000000003,0,2
2021-04-02,1329774.961999882,7.314256191253662,28408.160000000003,0,2
2021-04-03,1262587.9130990966,-6.718704700469971,27521.71,0,2
2021-04-04,1299551.091764439,3.6963179111480713,28063.16,0,2
2021-04-05,1319652.508958405,2.010141611099243,28511.304999999997,0,2
2021-04-06,1313870.9174357685,-0.5781591534614563,27939.47,0,2
2021-04-07,1235536.936394642,-7.833398342132568,26994.989999999998,0,2
2021-04-08,1300751.640633944,6.521470546722412,27998.53,0,2
2021-04-09,1295329.9784450512,-0.5421662330627441,28037.835000000003,0,2
2021-04-10,1335347.794442738,4.001781463623047,28817.82,0,2
2021-04-11,1344679.4848784716,0.9331690669059753,28925.535,0,2
2021-04-12,1337790.007769335,-0.6889477372169495,28861.155000000002,0,2
2021-04-13,1433224.636010874,9.543462753295898,30637.905000000002,0,2
2021-04-14,1486605.5246020397,5.3380889892578125,30263.465,0,2
