date,account_value,reward,daily_volatility,trade_count,window
2021-01-05,1000000.0,0.0,0.0,0,1
2021-01-05,1060543.5705227768,6.054357051849365,16424.984999999997,2,1
2021-01-06,1150558.5645652986,9.00149917602539,17780.47,0,1
2021-01-07,1225979.5329289986,7.5420966148376465,19103.705,0,1
2021-01-08,1256895.3466091645,3.091581344604492,19682.94,0,1
2021-01-09,1249783.1516637278,-0.7112194895744324,19406.11,0,1
2021-01-10,1193802.9422685814,-5.598021030426025,18447.885,0,1
2021-01-11,1099360.6417498817,-9.444230079650879,17158.73,0,1
2021-01-12,1057871.1259092593,-4.148951530456543,16500.54,0,1
2021-01-13,1158479.7383188151,10.060861587524414,18120.745,0,1
2021-01-14,1218775.418057089,6.029568195343018,18956.440000000002,0,1
2021-01-15,1145380.7074215652,-7.339470863342285,17786.845,0,1
2021-01-16,1131311.5640728762,-1.4069143533706665,17383.575000000004,0,1
2021-01-17,1127226.4227352585,-0.408514142036438,17298.079999999998,0,1
2021-01-18,1152295.5065078866,2.506908416748047,17686.409999999996,0,1
2021-01-19,1143717.2448943579,-0.8578261733055115,17263.065,0,1
2021-01-20,1133310.5544353807,-1.0406690835952759,17045.62,0,1
2021-01-21,976150.9710648693,-15.715958595275879,14869.585000000001,0,1
2021-01-22,1047555.7715515101,7.140480041503906,15856.275,0,1
2021-01-23,1023698.6073720193,-2.385716438293457,15422.2,0,1
2021-01-24,1046364.7807266666,2.2666172981262207,15433.695000000002,0,1
2021-01-25,1037923.3200443054,-0.8441460728645325,15468.16,0,1
2021-01-26,1049163.7359797205,1.1240415573120117,15550.9,0,1
2021-01-27,976991.0042843188,-7.217273235321045,14563.56,0,1
2021-01-28,1069929.498056798,9.293848991394043,16017.585,0,1
2021-01-29,1099981.7897561528,3.0052292346954346,16436.35,0,1
2021-01-30,1100116.002508366,0.013421275652945042,16442.414999999997,0,1
2021-01-31,1060513.0208777906,-3.9602980613708496,15890.215000000002,0,1
2021-02-01,1079330.4237599815,1.8817403316497803,16076.1,0,1
2021-02-02,1148227.2368813634,6.889681339263916,16977.185,0,1
2021-02-03,1224660.2099990882,7.64329719543457,17977.190000000002,0,1
2021-02-04,1198166.978277407,-2.6493232250213623,17670.495000000003,0,1
2021-02-05,1249286.5370546652,5.111955642700195,18285.525,0,1
2021-02-06,1269313.360716634,2.0026824474334717,18755.295000000002,0,1
2021-02-07,1251315.3694054426,-1.7997990846633911,18592.035,0,1
2021-02-08,1476157.7076752316,22.484233856201172,22312.36,0,1
2021-02-09,1479523.3512860297,0.3365643620491028,22325.644999999997,0,1
2021-02-10,1431802.503787904,-4.772084712982178,21533.4,0,1
2021-02-11,1524165.882468275,9.236337661743164,23091.945,0,1
2021-02-12,1511385.001835139,-1.278088092803955,22723.670000000002,0,1
2021-02-13,1504875.8362781252,-0.650916576385498,22669.365,0,1
2021-02-14,1542619.6936027706,3.774385690689087,23388.685,0,1
2021-02-15,1521844.5375285007,-2.0775156021118164,23065.925,0,1
2021-02-16,1555930.7178064166,3.4086179733276367,23675.729999999996,0,1
2021-02-17,1645997.661404265,9.006694793701172,25134.915,0,1
2021-02-18,1640284.493987806,-0.5713167190551758,24806.495,0,1
2021-02-19,1762307.5335651613,12.202303886413574,26975.5,0,1
2021-02-20,1755854.3820697535,-0.6453151702880859,26964.095,0,1
2021-02-21,1801450.833283645,4.559645175933838,27737.52,0,1
2021-02-22,1692360.7967831073,-10.909003257751465,26155.045,0,1
2021-02-23,1526575.0364137054,-16.578575134277344,23656.555,0,1
2021-02-24,1553326.0788329958,2.6751041412353516,24026.405,0,1
2021-02-25,1465679.6748111786,-8.764640808105469,22795.99,0,1
2021-02-26,1439532.125417093,-2.6147549152374268,22416.14,0,1
2021-02-27,1436324.6216448771,-0.3207503855228424,22324.149999999998,0,1
2021-02-28,1405172.0382210684,-3.1152584552764893,21858.24,0,1
2021-03-01,1544919.860947708,13.97478199005127,24008.585,0,1
2021-03-02,1504015.5206590856,-4.0904340744018555,23476.935,0,1
2021-03-05,1000000.0,0.0,0.0,0,2
2021-03-05,1007223.099437,0.722309947013855,23611.699999999997,2,2
2021-03-06,1012395.739437,0.5172640085220337,23615.925,0,2
2021-03-07,1055778.7494370001,4.338301181793213,24622.795000000002,0,2
2021-03-08,1086094.569437,3.0315821170806885,25270.995,0,2
2021-03-09,1137065.099437,5.097053050994873,26506.995000000003,0,2
2021-03-10,1154823.7094369999,1.7758610248565674,27028.235,0,2
2021-03-11,1193898.969437,3.9075260162353516,27973.690000000002,0,2
2021-03-12,1181616.889437,-1.2282079458236694,27727.81,0,2
2021-03-13,1264231.5394370002,8.261465072631836,29633.02,0,2
2021-03-14,1218270.689437,-4.596085071563721,28560.105,0,2
2021-03-15,1149861.469437,-6.840921878814697,26905.86,0,2
2021-03-16,1176016.909437,2.615544080734253,27547.815,0,2
2021-03-17,1216648.9694369999,4.063206195831299,28544.695,0,2
2021-03-18,1190355.2694370002,-2.6293699741363525,27936.04,0,2
2021-03-19,1198685.689437,0.8330420255661011,28110.455,0,2
2021-03-20,1200068.0894370002,0.1382399946451187,28148.09,0,2
2021-03-21,1184568.169437,-1.5499919652938843,27784.289999999997,0,2
2021-03-22,1117059.7594370001,-6.75084114074707,26201.14,0,2
2021-03-23,1121941.869437,0.4882110059261322,26336.405,0,2
2021-03-24,1079386.029437,-4.255583763122559,25360.905000000002,0,2
2021-03-25,1059270.529437,-2.011549949645996,24854.019999999997,0,2
2021-03-26,1136281.8294369997,7.701129913330078,26663.374999999996,0,2
