date,account_value,reward,daily_volatility,volatility,turbulence,window
2021-08-03,1000000.0,0.0,0.0,0.0,0.0,1
2021-08-04,1034951.967787,3.49519681930542,18030.962853098,0.19406609490588647,0.026140070105327606,1
2021-08-05,1044657.7077870001,0.9705740213394165,18544.63579244473,0.1853207154257374,0.005939703956433583,1
2021-08-06,1058505.387787,1.384768009185791,19459.089259579672,0.18433431499037778,0.00891435717849796,1
2021-08-07,1101130.2777870002,4.262488842010498,20215.29242451917,0.17887771053931056,0.02651906738021251,1
2021-08-08,1056650.7877870002,-4.447948932647705,19884.303878549254,0.18371280359869874,0.006141845207987314,1
2021-08-09,1095381.017787,3.87302303314209,21006.868215421568,0.1867163603400776,0.009201112553350016,1
2021-08-10,1149782.617787,5.440159797668457,20691.730554288268,0.19181013580924097,0.03262050653192244,1
2021-08-11,1208635.257787,5.885263919830322,20647.98405995984,0.19554731964516328,0.019533914169893626,1
2021-08-12,1192252.957787,-1.6382299661636353,20150.33832439214,0.1942434099287503,0.005672110378965704,1
2021-08-13,1269837.057787,7.7584099769592285,21685.84091980961,0.20253603930133263,0.01937413116807143,1
2021-08-14,1263376.867787,-0.6460189819335938,21354.670242799093,0.20273051105533463,0.002090577030984231,1
2021-08-15,1280006.447787,1.662958025932312,21299.3614191897,0.1955028652127037,0.0016579100787577669,1
2021-08-16,1285168.417787,0.5161970257759094,20828.303137100622,0.1946520675968918,0.018740501747155643,1
2021-08-17,1242141.697787,-4.302671909332275,20293.289633444514,0.1998805156260661,0.004631097340294168,1
2021-08-18,1224677.547787,-1.7464150190353394,20298.532261792287,0.1826531220736679,0.001361580841271475,1
2021-08-19,1333233.467787,10.855591773986816,21220.792232553955,0.18360688785235252,0.01888402895011004,1
2021-08-20,1406366.5277870002,7.313305854797363,22399.181434910122,0.1615400361428904,0.01660905263079446,1
2021-08-21,1387233.2377870001,-1.913329005241394,22178.25847542939,0.16351447077494935,0.0021149322921869373,1
2021-08-22,1387047.7777870002,-0.018546000123023987,22371.632188610845,0.1640874254816295,0.0007823003519013811,1
2021-08-23,1542772.357787,15.572458267211914,22458.378712823414,0.19185570879531447,0.10447930312733428,1
2021-08-24,1457955.317787,-8.481703758239746,21643.325746197654,0.2051403759479769,0.01323674012594686,1
2021-08-25,1555538.187787,9.75828742980957,22234.88156169091,0.2112857340271473,0.02246851055878929,1
2021-08-26,1477984.9977870001,-7.755319118499756,21267.462109344928,0.221527827393775,0.01493853642758267,1
2021-08-27,1528677.397787,5.069240093231201,22272.57127516314,0.22187897206862509,0.009569648860508718,1
2021-08-28,1503022.097787,-2.5655300617218018,22198.738312590347,0.2243186301372049,0.0024820631389753803,1
2021-08-29,1482930.597787,-2.0091500282287598,22144.87776369114,0.2261545781742018,0.001740440997864792,1
2021-08-30,1422965.197787,-5.996540069580078,21308.24337340051,0.23207883072454366,0.034430018954150106,1
2021-08-31,1434092.797787,1.1127599477767944,21320.35633381133,0.23182635587817255,0.0346816960700648,1
2021-09-01,1512913.297787,7.882050037384033,22034.322408462864,0.23502070108901907,0.05193003487627171,1
2021-09-02,1495294.597787,-1.76187002658844,22249.630381475254,0.23363335045022313,0.004868408943189179,1
2021-09-03,1510131.397787,1.483680009841919,22570.437319207816,0.23264623918459712,0.005384757867084695,1
2021-09-04,1538568.597787,2.843719959259033,22539.79706457595,0.23266563480267882,0.006219228303042051,1
2021-09-05,1560514.697787,2.194610118865967,23390.684644140325,0.2326653017890216,0.008962314021566638,1
2021-09-06,1533622.9977870001,-2.6891698837280273,23824.72267327413,0.23302708734940666,0.008827217053772632,1
2021-09-07,1294379.597787,-23.924339294433594,21219.299972387296,0.2846516866365384,0.09981286981417535,1
2021-09-08,1282942.897787,-1.1436699628829956,20822.94092536776,0.2835244906621164,0.011261893726588357,1
2021-09-09,1302416.197787,1.9473299980163574,21000.144721635188,0.28006831524857917,0.011124501127574536,1
2021-09-10,1240905.297787,-6.151090145111084,20324.31794425967,0.28074066657205193,0.013302999198837609,1
2021-09-11,1252341.9977870001,1.1436699628829956,20462.897020462835,0.2803347834990656,0.0004548165500407957,1
2021-09-12,1286961.197787,3.4619200229644775,20831.74717255852,0.2739732710131018,0.003283797296904407,1
2021-09-13,1233795.9977870001,-5.3165202140808105,20350.970288262808,0.27737579786876015,0.006149069615878884,1
2021-09-14,1280779.197787,4.698319911956787,21337.095008604145,0.27974290715863853,0.007536381016371201,1
2021-09-15,1333326.197787,5.254700183868408,21770.068413750003,0.28264482969157395,0.006471788389065275,1
2021-09-16,1311689.197787,-2.1637001037597656,21600.99448420116,0.2808366803574106,0.0015852894528138428,1
2021-09-17,1256978.4977870001,-5.471069812774658,21435.104436822534,0.2840265233368437,0.014436558397310763,1
2021-09-18,1269651.597787,1.2673100233078003,21893.68106954658,0.2693089450931544,0.0021599394315998444,1
2021-09-19,1263160.4977870001,-0.6491100192070007,21422.297423530465,0.2629697096805584,0.008137768482431992,1
2021-09-20,1125610.9977870001,-13.754949569702148,19519.362290295812,0.28425009221953795,0.0464528564118833,1
2021-09-21,1064718.297787,-6.089270114898682,18495.704066262402,0.28839313503797503,0.015447597645611197,1
2021-09-22,1171666.897787,10.694860458374023,19742.83365999082,0.28335831822482227,0.028797416280989165,1
2021-09-23,1185576.397787,1.3909499645233154,20347.66893696562,0.27959505611030033,0.004237764697531238,1
2021-09-24,1097482.897787,-8.80935001373291,19435.579044763927,0.2772803259623397,0.015676483716595017,1
2021-09-25,1080791.4977870001,-1.6691399812698364,19372.552535328603,0.2742204564109215,0.001333063103819199,1
