date,account_value,reward,daily_volatility,fear_greed,fear_greed_norm,fear_greed_mapped,window
2021-08-03,1000000.0,0.0,0.0,-1.0,-1.0,0.0,1
2021-08-04,1016784.758447232,1.6784758567810059,18030.962853098,42.0,-0.16,-1.0,1
2021-08-05,1041546.7474742271,2.47619891166687,18544.63579244473,50.0,0.0,1.0,1
2021-08-06,1063202.6230977895,2.1655876636505127,19459.089259579672,52.0,0.04,1.0,1
2021-08-07,1138470.3203394995,7.526769638061523,20215.29242451917,69.0,0.38,1.0,1
2021-08-08,1095358.484286932,-4.311183452606201,19884.303878549254,74.0,0.48,1.0,1
2021-08-09,1149766.3207565888,5.440783500671387,21006.868215421568,65.0,0.3,1.0,1
2021-08-10,1148173.8568018186,-0.15924639999866486,20691.730554288268,71.0,0.42,1.0,1
2021-08-11,1159458.5550122529,1.1284698247909546,20647.98405995984,70.0,0.4,1.0,1
2021-08-12,1124916.1614673908,-3.4542393684387207,20150.33832439214,70.0,0.4,1.0,1
2021-08-13,1218432.0827871838,9.351592063903809,21685.84091980961,70.0,0.4,1.0,1
2021-08-14,1199732.9395535083,-1.8699142932891846,21354.670242799093,76.0,0.52,2.0,1
2021-08-15,1210626.8550610994,1.0893915891647339,21299.3614191897,71.0,0.42,1.0,1
2021-08-16,1169406.9591470277,-4.121989727020264,20828.303137100622,72.0,0.44,1.0,1
2021-08-17,1126345.5382199676,-4.306142330169678,20293.289633444514,72.0,0.44,1.0,1
2021-08-18,1124702.3607229653,-0.1643177568912506,20298.532261792287,73.0,0.46,1.0,1
2021-08-19,1189931.3313542649,6.522897243499756,21220.792232553955,70.0,0.4,1.0,1
2021-08-20,1239401.920647884,4.947059154510498,22399.181434910122,70.0,0.4,1.0,1
2021-08-21,1220198.6342522504,-1.9203286170959473,22178.25847542939,78.0,0.56,2.0,1
2021-08-22,1226263.7872426477,0.6065152883529663,22371.632188610845,76.0,0.52,2.0,1
2021-08-23,1266435.0496469906,4.017126083374023,22458.378712823414,79.0,0.58,2.0,1
2021-08-24,1210101.875367075,-5.633317470550537,21643.325746197654,79.0,0.58,2.0,1
2021-08-25,1244309.3059241164,3.420742988586426,22234.88156169091,73.0,0.46,1.0,1
2021-08-26,1190312.871528987,-5.399643421173096,21267.462109344928,75.0,0.5,2.0,1
2021-08-27,1251374.3013642088,6.106142997741699,22272.57127516314,71.0,0.42,1.0,1
2021-08-28,1240550.6785034493,-1.0823622941970825,22198.738312590347,78.0,0.56,2.0,1
2021-08-29,1232497.610041135,-0.8053068518638611,22144.87776369114,72.0,0.44,1.0,1
2021-08-30,1213113.2918652592,-1.9384318590164185,21308.24337340051,73.0,0.46,1.0,1
2021-08-31,1257985.4385464469,4.4872145652771,21320.35633381133,73.0,0.46,1.0,1
2021-09-01,1365435.0276246923,10.744958877563477,22034.322408462864,71.0,0.42,1.0,1
2021-09-02,1357475.0573417891,-0.7959970235824585,22249.630381475254,74.0,0.48,1.0,1
2021-09-03,1397293.365881781,3.9818308353424072,22570.437319207816,74.0,0.48,1.0,1
2021-09-04,1389249.077917284,-0.8044288158416748,22539.79706457595,72.0,0.44,1.0,1
2021-09-05,1419127.150053737,2.987807273864746,23390.684644140325,73.0,0.46,1.0,1
2021-09-06,1417031.7967973421,-0.20953533053398132,23824.72267327413,79.0,0.58,2.0,1
2021-09-07,1238928.3237607756,-17.810346603393555,21219.299972387296,79.0,0.58,2.0,1
2021-09-08,1245324.9181946227,0.6396594643592834,20822.94092536776,47.0,-0.06,-1.0,1
2021-09-09,1234588.2659540735,-1.0736652612686157,21000.144721635188,45.0,-0.1,-1.0,1
2021-09-10,1169328.11540275,-6.526015281677246,20324.31794425967,46.0,-0.08,-1.0,1
2021-09-11,1185592.7411247103,1.6264625787734985,20462.897020462835,31.0,-0.38,-1.0,1
2021-09-12,1225478.952114272,3.9886209964752197,20831.74717255852,32.0,-0.36,-1.0,1
2021-09-13,1185339.3232466937,-4.013962745666504,20350.970288262808,44.0,-0.12,-1.0,1
2021-09-14,1238855.0121397744,5.351568698883057,21337.095008604145,30.0,-0.4,-1.0,1
2021-09-15,1291242.3123432908,5.238729953765869,21770.068413750003,49.0,-0.02,-1.0,1
2021-09-16,1275917.1440410614,-1.5325168371200562,21600.99448420116,53.0,0.06,1.0,1
2021-09-17,1229679.4245146809,-4.623772144317627,21435.104436822534,48.0,-0.04,-1.0,1
2021-09-18,1246093.8618228908,1.6414437294006348,21893.68106954658,50.0,0.0,1.0,1
2021-09-19,1214901.3432627248,-3.1192519664764404,21422.297423530465,53.0,0.06,1.0,1
2021-09-20,1091555.8955252485,-12.334545135498047,19519.362290295812,50.0,0.0,1.0,1
2021-09-21,1022110.412256744,-6.9445481300354,18495.704066262402,27.0,-0.46,-1.0,1
2021-09-22,1122677.844837341,10.056743621826172,19742.83365999082,21.0,-0.58,-2.0,1
2021-09-23,1150083.0466337139,2.7405202388763428,20347.66893696562,27.0,-0.46,-1.0,1
2021-09-24,1075968.7682653212,-7.411427974700928,19435.579044763927,33.0,-0.34,-1.0,1
2021-09-25,1071307.598890444,-0.46611693501472473,19372.552535328603,28.0,-0.44,-1.0,1
2021-09-26,1101869.3723007122,3.0561773777008057,19575.474644984275,27.0,-0.46,-1.0,1
2021-09-27,1062617.5315328825,-3.9251840114593506,19129.052436682676,26.0,-0.48,-1.0,1
2021-09-28,1027849.3254821763,-3.476820707321167,18627.839191909035,25.0,-0.5,-1.0,1
2021-09-29,1055325.76283087,2.7476437091827393,18843.487680622064,24.0,-0.52,-2.0,1
