date,account_value,reward,daily_volatility,window
2021-08-03,1000000,0,0,1
2021-08-04,1008462.29983656,0.84622997045517,18030.962853098,1
2021-08-05,1016222.13011121,0.775983035564423,18544.6357924447,1
2021-08-06,1035605.33612974,1.93832063674927,19459.0892595797,1
2021-08-07,1090648.91514693,5.50435781478882,20215.2924245192,1
2021-08-08,1063480.2632253,-2.7168653011322,19884.3038785493,1
2021-08-09,1121386.9941567,5.79067325592041,21006.8682154216,1
2021-08-10,1107563.84167912,-1.38231527805328,20691.7305542883,1
2021-08-11,1107888.57543173,0.032473374158144,20647.9840599598,1
2021-08-12,1077587.30294497,-3.03012728691101,20150.3383243921,1
2021-08-13,1163846.00293371,8.62586975097656,21685.8409198096,1
2021-08-14,1145324.36264851,-1.85216403007507,21354.6702427991,1
2021-08-15,1147426.24144206,0.210187882184982,21299.3614191897,1
2021-08-16,1113856.62136757,-3.35696196556091,20828.3031371006,1
2021-08-17,1080068.50364995,-3.37881183624268,20293.2896334445,1
2021-08-18,1080474.13484404,0.0405631177127361,20298.5322617923,1
2021-08-19,1132865.31514873,5.23911809921265,21220.792232554,1
2021-08-20,1188500.31149515,5.56349945068359,22399.1814349101,1
2021-08-21,1173996.78417602,-1.4503527879715,22178.2584754294,1
2021-08-22,1182892.78633371,0.889600217342377,22371.6321886108,1
2021-08-23,1194801.76839798,1.19089818000793,22458.3787128234,1
2021-08-24,1148466.91466356,-4.63348531723023,21643.3257461977,1
2021-08-25,1177173.24306731,2.8706328868866,22234.8815616909,1
2021-08-26,1126570.62031017,-5.06026220321655,21267.4621093449,1
2021-08-27,1182973.66063959,5.64030408859253,22272.5712751631,1
2021-08-28,1177246.15838818,-0.572750210762024,22198.7383125903,1
2021-08-29,1173074.41401236,-0.417174428701401,22144.8777636911,1
2021-08-30,1140946.74301104,-3.21276712417603,21308.2433734005,1
2021-08-31,1160472.16049268,1.95254170894623,21320.3563338113,1
2021-09-01,1226365.57319605,6.58934116363525,22034.3224084629,1
2021-09-02,1230758.79280695,0.439321964979172,22249.6303814753,1
2021-09-03,1257772.19438635,2.70134019851685,22570.4373192078,1
2021-09-04,1251689.0095998,-0.608318507671356,22539.797064576,1
2021-09-05,1290993.30574578,3.93042969703674,23390.6846441403,1
2021-09-06,1305508.63121281,1.45153260231018,23824.7226732741,1
2021-09-07,1156514.02132887,-14.8994607925415,21219.2999723873,1
2021-09-08,1147207.37650193,-0.930664479732513,20822.9409253678,1
2021-09-09,1147115.41880875,-0.00919576920568943,21000.1447216352,1
2021-09-10,1100051.32007778,-4.70640993118286,20324.3179442597,1
2021-09-11,1111035.10444908,1.0983784198761,20462.8970204628,1
2021-09-12,1138541.56149683,2.75064563751221,20831.7471725585,1
2021-09-13,1108343.1249871,-3.01984357833862,20350.9702882628,1
2021-09-14,1161017.05095233,5.26739263534546,21337.0950086041,1
2021-09-15,1195098.9857594,3.40819358825684,21770.06841375,1
2021-09-16,1184108.94577649,-1.09900403022766,21600.9944842012,1
2021-09-17,1161439.69714483,-2.26692485809326,21435.1044368225,1
2021-09-18,1182711.2712394,2.12715744972229,21893.6810695466,1
2021-09-19,1154185.81006434,-2.85254621505737,21422.2974235305,1
2021-09-20,1046282.91100941,-10.7902898788452,19519.3622902958,1
2021-09-21,986155.804670828,-6.01271057128906,18495.7040662624,1
2021-09-22,1064632.25645553,7.84764528274536,19742.8336599908,1
2021-09-23,1095374.49655906,3.07422399520874,20347.6689369656,1
2021-09-24,1038275.45449465,-5.70990419387817,19435.5790447639,1
2021-09-25,1035115.3439284,-0.316011071205139,19372.5525353286,1
2021-09-26,1056040.041553,2.09246969223022,19575.4746449843,1
2021-09-27,1025858.00743434,-3.01820349693298,19129.0524366827,1
2021-09-28,994867.121358717,-3.09908866882324,18627.839191909,1
2021-09-29,1007996.4421666,1.31293213367462,18843.4876806221,1
2021-09-30,1063137.22304331,5.51407814025879,19888.9246098096,1
2021-10-01,1169031.93146824,10.5894708633423,21846.517992654,1
2021-10-02,1166554.18251144,-0.24777489900589,21589.9958485282,1
2021-10-03,1179497.73589381,1.29435539245605,21848.7279841067,1
2021-10-04,1195489.97934746,1.59922432899475,22338.9269744458,1
2021-10-05,1247813.80375607,5.23238229751587,23365.0761237541,1
2021-10-06,1323230.8037233,7.54169988632202,25163.2975581991,1
2021-10-07,1296370.37932366,-2.68604254722595,24439.5004765323,1
2021-10-08,1297252.26888141,0.0881889536976814,24527.9086428043,1
2021-10-09,1316521.9430834,1.92696738243103,24994.6758963869,1
2021-10-10,1297200.21743614,-1.93217253684998,24896.8594040667,1
2021-10-11,1359751.05814221,6.25508403778076,26191.1700718981,1
2021-10-12,1328455.6515268,-3.12954068183899,25499.9258907015,1
2021-10-13,1363640.19662153,3.51845455169678,26113.2329187943,1
2021-10-14,1379251.40840319,1.56112122535706,26064.3817158939,1
2021-10-15,1465100.80797617,8.58493995666504,28083.0998891413,1
2021-10-16,1447122.57490236,-1.79782330989838,27718.5447434076,1
2021-10-17,1460533.6788481,1.34111034870148,28020.9444118697,1
2021-10-18,1460498.52959387,-0.00351492548361421,28266.0819016196,1
2021-10-19,1513500.92446286,5.30023956298828,29305.9658083064,1
2021-10-20,1569699.77358613,5.61988496780396,30051.5791208349,1
2021-10-21,1490619.77150912,-7.90799999237061,28289.6638341761,1
2021-10-22,1456099.97784535,-3.45197939872742,27596.3389734073,1
2021-10-23,1484010.64871235,2.79106712341309,27834.8272228312,1
2021-10-24,1468671.96191714,-1.53386867046356,27650.8781481397,1
