date,window,Exp_2_Account_Value,turbulence,Is_high_Turbulence,Exp_3_Account_Value,fear_greed_norm,fear_greed_mapped,Is_Exp2_higher,Is_Exp3_higher
2021-10-09,1,1304270.798,0.003084558248,0,1327935.77,0.44,1,0,0
2021-10-10,1,1249250.998,0.01374420034,0,1284322.812,0.42,1,0,0
2021-10-11,1,1277069.998,0.01234881025,0,1335381.35,0.42,1,0,0
2021-10-12,1,1373200.098,0.06700641494,1,1326774.877,0.56,2,1,0
2021-10-13,1,1455420.698,0.007649792664,0,1372185.826,0.4,1,0,0
2021-10-14,1,1461293.598,0.02603858816,0,1411936.472,0.4,1,0,0
2021-10-15,1,1466857.398,0.05057874078,0,1460249.377,0.42,1,0,0
2021-10-16,1,1439965.698,0.001519913296,0,1442669.225,0.56,2,0,0
2021-10-17,1,1455729.798,0.0005101410724,0,1453024.332,0.58,2,0,0
2021-10-18,1,1499003.798,0.01931149627,0,1440470.571,0.56,2,0,0
2021-10-19,1,1508894.998,0.00689894992,0,1486172.747,0.5,2,0,0
2021-10-20,1,1549696.198,0.02012983997,0,1564462.871,0.64,2,0,0
2021-10-21,1,1455729.798,0.02472396384,0,1501733.803,0.68,2,0,0
2021-10-22,1,1481694.198,0.01141701926,0,1477189.661,0.5,2,0,0
2021-10-23,1,1500858.398,0.01104783309,0,1525571.377,0.48,1,0,0
2021-10-24,1,1470875.698,0.00176772512,0,1500413.202,0.46,1,0,0
2021-10-25,1,1499621.998,0.003882068855,0,1549570.285,0.44,1,0,0
2021-10-26,1,1477984.998,0.01286883649,0,1508103.646,0.52,2,0,0
2021-10-27,1,1387109.598,0.009573002752,0,1437697.938,0.46,1,0,0
2021-10-28,1,1520640.798,0.03156959075,0,1548466.114,0.32,1,0,0
2021-10-29,1,1639335.198,0.02135250512,0,1604514.018,0.4,1,0,0
2021-10-30,1,1633153.198,0.003048990286,0,1580359.335,0.46,1,0,0
2021-10-31,1,1621716.498,0.0007118406096,0,1567282.699,0.48,1,0,0
2021-10-03,2,1000000,0,0,1000000,-1,0,0,0
2021-10-04,2,1000000,0.01466457772,0,993073.1189,0.08,1,0,0
2021-10-05,2,1036951.033,0.008251651529,0,1026953.729,0.18,1,0,0
2021-10-06,2,1020067.033,0.09753774094,1,1047035.737,0.36,1,0,1
2021-10-07,2,1028509.033,0.01561373243,0,1045888.502,0.52,2,0,0
2021-10-08,2,983250.5327,0.01221098382,0,1040293.433,0.48,1,0,0
2021-10-09,2,989582.0327,0.003084558248,0,1045982.532,0.44,1,0,0
2021-10-10,2,947841.0327,0.01374420034,0,1005202.111,0.42,1,0,0
2021-10-11,2,968946.0327,0.01234881025,0,1044916.296,0.42,1,0,0
2021-10-12,2,1041875.533,0.06700641494,1,1028391.573,0.56,2,1,0
2021-10-13,2,1104252.533,0.007649792664,0,1061237.008,0.4,1,0,0
2021-10-14,2,1108708.033,0.02603858816,0,1106843.449,0.4,1,0,0
2021-10-15,2,1112929.033,0.05057874078,0,1138353.146,0.42,1,0,0
2021-10-16,2,1092527.533,0.001519913296,0,1126356.142,0.56,2,0,0
2021-10-17,2,1104487.033,0.0005101410724,0,1132415.03,0.58,2,0,0
2021-10-18,2,1137317.033,0.01931149627,0,1108500.277,0.56,2,0,0
2021-10-19,2,1144821.033,0.00689894992,0,1147716.83,0.5,2,0,0
2021-10-20,2,1175775.033,0.02012983997,0,1223319.017,0.64,2,0,0
2021-10-21,2,1104487.033,0.02472396384,0,1185571.319,0.68,2,0,0
2021-10-22,2,1124185.033,0.01141701926,0,1161335.637,0.5,2,0,0
2021-10-23,2,1138724.033,0.01104783309,0,1211560.663,0.48,1,0,0
2021-10-24,2,1115977.533,0.00176772512,0,1189176.132,0.46,1,0,0
2021-10-25,2,1137786.033,0.003882068855,0,1229800.554,0.44,1,0,0
2021-10-26,2,1121371.033,0.01286883649,0,1199978.401,0.52,2,0,0
2021-10-27,2,1052428.033,0.009573002752,0,1142281.65,0.46,1,0,0
2021-10-28,2,1153732.033,0.03156959075,0,1239221.067,0.32,1,0,0
2021-10-29,2,1243780.033,0.02135250512,0,1277245.838,0.4,1,0,0
2021-10-30,2,1239090.033,0.003048990286,0,1252187.33,0.46,1,0,0
2021-10-31,2,1230413.533,0.0007118406096,0,1241774.48,0.48,1,0,0
2021-11-01,2,1293025.033,0.01672863325,0,1248908.552,0.48,1,0,0
2021-11-02,2,1300294.533,0.02162876075,0,1322673.74,0.46,1,0,0
2021-11-03,2,1333124.533,0.004406708218,0,1325226.386,0.52,2,0,0
2021-11-04,2,1310378.033,0.003345241684,0,1303295.733,0.46,1,0,0
2021-11-05,2,1424345.033,0.05730137713,0,1287924.602,0.46,1,0,0
2021-11-06,2,1495633.033,0.008118978731,0,1300525.855,0.42,1,0,0
2021-11-07,2,1523538.533,0.002897731007,0,1329176.016,0.46,1,0,0
2021-11-08,2,1532684.033,0.02529115885,0,1389674.391,0.5,2,0,0
2021-11-09,2,1489301.533,0.003345277785,0,1369099.704,0.68,2,0,0
2021-11-10,2,1440291.033,0.007934542418,0,1337422.833,0.5,2,0,0
2021-11-11,2,1473824.533,0.003979750421,0,1359681.705,0.54,2,0,0
2021-11-12,2,1470307.033,0.001083856331,0,1344529.809,0.48,1,0,0
2021-11-13,2,1523304.033,0.007299612887,0,1340143.126,0.44,1,0,0
2021-11-14,2,1526352.533,0.004157306368,0,1338899.256,0.48,1,0,0
2021-11-15,2,1486487.533,0.008384633587,0,1317838.826,0.44,1,0,0
2021-11-16,2,1380728.033,0.02074187516,0,1219516.668,0.42,1,0,0
2021-11-17,2,1355636.533,0.007931951172,0,1239656.943,0.04,1,0,0
2021-11-18,2,1247297.533,0.02017361001,0,1157299.743,0.08,1,0,0
2021-11-19,2,1362671.533,0.03188682558,0,1235027.764,-0.32,-1,0,0
2021-11-20,2,1417310.033,0.00322652579,0,1269030.423,-0.14,-1,0,0
2021-11-21,2,1369706.533,0.006348449567,0,1227564.559,-0.02,-1,0,0
2021-11-22,2,1311785.033,0.01039034974,0,1177876.733,0,1,0,0
2021-11-23,2,1386356.033,0.01525315256,0,1244799.826,-0.34,-1,0,0
2021-11-24,2,1384480.033,0.002168907862,0,1226229.996,-0.16,-1,0,0
2021-11-25,2,1498916.033,0.01570980917,0,1295251.538,-0.36,-1,0,0
2021-11-26,2,1377445.033,0.04581195876,0,1159922.533,-0.06,-1,0,0
2021-11-27,2,1406992.033,0.001147205003,0,1176246.895,-0.58,-2,0,0
2021-11-28,2,1433725.033,0.009979005796,0,1233092.123,-0.46,-1,0,0
2021-11-29,2,1462099.533,0.005898002311,0,1271848.069,-0.34,-1,0,0
2021-11-30,2,1459989.033,0.03255999313,0,1315767.798,-0.2,-1,0,0
2021-12-01,2,1471714.033,0.003237360425,0,1304680.169,-0.32,-1,0,0
2021-12-02,2,1453892.033,0.001585980114,0,1284809.544,-0.36,-1,0,0
2021-12-03,2,1395501.533,0.01725568658,0,1203067.946,-0.38,-1,0,0
2021-12-04,2,1333593.533,0.05532947834,0,1165976.104,-0.5,-1,0,0
2021-12-05,2,1308267.533,0.008186856417,0,1186284.524,-0.64,-2,0,0
2021-12-06,2,1377914.033,0.006313864749,0,1227034.261,-0.68,-2,0,0
2021-12-07,2,1357278.033,0.003212560808,0,1217127.059,-0.5,-1,0,0
2021-12-08,2,1424110.533,0.01050239019,0,1249491.719,-0.44,-1,0,0
2021-12-09,2,1337345.533,0.01940211907,0,1158624.184,-0.42,-1,0,0
2021-12-10,2,1295604.533,0.01930269387,0,1105671.429,-0.52,-2,0,0
2021-12-11,2,1323979.033,0.01465307565,0,1159668.247,-0.68,-2,0,0
2021-12-12,2,1337580.033,0.001518960323,0,1171671.884,-0.46,-1,0,0
2021-12-13,2,1221971.533,0.02542090787,0,1075347.309,-0.44,-1,0,0
2021-12-14,2,1238621.033,0.009226631082,0,1099146.728,-0.58,-2,0,0
2021-12-15,2,1269106.033,0.00718857813,0,1140539.401,-0.44,-1,0,0
2021-12-16,2,1234165.533,0.003902341306,0,1121822.753,-0.42,-1,0,0
2021-12-17,2,1232524.033,0.006039727651,0,1097057.4,-0.54,-2,0,0
2021-12-18,2,1252222.033,0.001753444037,0,1120110.945,-0.52,-2,0,0
2021-12-19,2,1242607.533,0.001439923215,0,1110746.349,-0.42,-1,0,0
2021-12-20,2,1229006.533,0.003472013025,0,1116476.61,-0.5,-1,0,0
2021-12-21,2,1239090.033,0.02235831973,0,1139287.162,-0.46,-1,0,0
2021-12-22,2,1251518.533,0.002314366175,0,1129864.832,-0.1,-1,0,0
2021-12-23,2,1287631.533,0.01490656626,0,1169073.243,-0.32,-1,0,0
2021-12-24,2,1271451.033,0.003772151487,0,1152779.918,-0.18,-1,0,0
2021-12-25,2,1283879.533,0.003190200698,0,1163712.142,-0.22,-1,0,0
2021-12-26,2,1281534.533,0.004041490418,0,1156968.576,-0.26,-1,0,0
2021-12-27,2,1322103.033,0.01011705268,0,1150337.061,-0.2,-1,0,0
2021-12-28,2,1252925.533,0.01678817763,0,1080479.414,-0.18,-1,0,0
2021-12-29,2,1206729.033,0.007514245285,0,1036870.53,-0.46,-1,0,0
2021-12-30,2,1216109.033,0.003176056686,0,1058409.06,-0.56,-2,0,0
2021-12-31,2,1199459.533,0.002249874029,0,1047616.518,-0.44,-1,0,0
2021-12-03,3,1000000,0,0,1000000,-1,0,0,0
2021-12-04,3,955548.04,0.05532947834,0,971816.73,-0.5,-1,0,0
2021-12-05,3,937404.04,0.008186856417,0,964321.7477,-0.64,-2,0,0
2021-12-06,3,987300.04,0.006313864749,0,983703.7233,-0.68,-2,0,0
2021-12-07,3,972516.04,0.003212560808,0,972000.3705,-0.5,-1,0,0
2021-12-08,3,1020396.04,0.01050239019,0,1009439.016,-0.44,-1,0,0
2021-12-09,3,958236.04,0.01940211907,0,953383.2255,-0.42,-1,0,0
2021-12-10,3,928332.04,0.01930269387,0,928256.5342,-0.52,-2,0,0
2021-12-11,3,948660.04,0.01465307565,0,951807.1112,-0.68,-2,0,0
2021-12-12,3,958404.04,0.001518960323,0,962135.2572,-0.46,-1,0,0
2021-12-13,3,875580.04,0.02542090787,0,882468.8613,-0.44,-1,0,0
2021-12-14,3,887508.04,0.009226631082,0,898067.3019,-0.58,-2,0,0
