date,account_value,reward,daily_return,daily_volatility,fear_greed,fear_greed_norm,fear_greed_mapped,window
2024-11-21,2055729.8404178224,,,0.0,82.0,0.64,2.0,3
2024-11-22,2414762.2177516907,,,0.0,94.0,0.88,2.0,3
2024-11-23,2408031.966010504,,,0.0,93.0,0.86,2.0,3
2024-11-24,2349983.424721546,,,0.0,80.0,0.6,2.0,3
2024-11-25,2318991.4069147296,,,0.0,82.0,0.64,2.0,3
2024-11-26,2293082.735943952,,,0.0,79.0,0.58,2.0,3
2024-11-27,2409835.7342426465,,,0.0,75.0,0.5,2.0,3
2024-11-28,2528720.4586338736,,,0.0,77.0,0.54,2.0,3
2024-11-29,2952605.993187421,,,0.0,78.0,0.56,2.0,3
2024-11-30,3199722.240990978,,,0.0,84.0,0.68,2.0,3
2024-12-01,3761186.097977959,,,0.0,81.0,0.62,2.0,3
2024-12-02,4467607.32925714,,,0.0,80.0,0.6,2.0,3
2024-12-04,1000000.0,0.0,0.0,0.0,-1.0,-1.0,0.0,4
2024-12-05,1000000.0,,,0.0,84.0,0.68,2.0,4
2024-12-06,1080574.4459282598,,,0.0,72.0,0.44,1.0,4
2024-12-07,1162629.8357282602,,,0.0,75.0,0.5,2.0,4
2024-12-08,1158798.8023282601,,,0.0,79.0,0.58,2.0,4
2024-12-09,985555.90822826,,,0.0,78.0,0.56,2.0,4
2024-12-10,1056162.7447282597,,,0.0,78.0,0.56,2.0,4
2024-12-11,1066497.6255282601,,,0.0,74.0,0.48,1.0,4
2024-12-12,1041685.00222826,,,0.0,83.0,0.66,2.0,4
2024-12-13,1078792.56992826,,,0.0,76.0,0.52,2.0,4
2024-12-14,1069348.6271282602,,,0.0,83.0,0.66,2.0,4
2024-12-15,1090018.38872826,,,0.0,80.0,0.6,2.0,4
2024-12-16,1106589.83552826,,,0.0,83.0,0.66,2.0,4
2024-12-17,1143652.8563282602,,,0.0,87.0,0.74,2.0,4
2024-12-18,1029167.3233282599,,,0.0,81.0,0.62,2.0,4
2024-12-19,997405.3836282599,,,0.0,75.0,0.5,2.0,4
2024-12-20,1015357.78432826,,,0.0,74.0,0.48,1.0,4
2024-12-21,996959.91462826,,,0.0,73.0,0.46,1.0,4
2024-12-22,981413.04652826,,,0.0,73.0,0.46,1.0,4
2024-12-23,1007517.5299282599,,,0.0,70.0,0.4,1.0,4
2024-12-24,1035181.15482826,,,0.0,73.0,0.46,1.0,4
2024-12-25,1023376.2263282599,,,0.0,73.0,0.46,1.0,4
