date,account_value,daily_volatility,window,
2021-08-03,1000000,0,0,1
2021-08-04,1008462.29983656,0.00846229983656004,18030.962853098,1
2021-08-05,1016222.13011121,0.00769471528673668,18544.6357924447,1
2021-08-06,1035605.33612974,0.0190737885391344,19459.0892595797,1
2021-08-07,1090648.91514693,0.0531511156778108,20215.2924245192,1
2021-08-08,1063480.2632253,-0.0249105386200011,19884.3038785493,1
2021-08-09,1121386.9941567,0.054450216834097,21006.8682154216,1
2021-08-10,1107563.84167912,-0.0123268350262751,20691.7305542883,1
2021-08-11,1107888.57543173,0.000293196419375354,20647.9840599598,1
2021-08-12,1077587.30294497,-0.0273504693149776,20150.3383243921,1
2021-08-13,1163846.00293371,0.0800479921701018,21685.8409198096,1
2021-08-14,1145324.36264851,-0.0159141675432254,21354.6702427991,1
2021-08-15,1147426.24144206,0.00183518212141204,21299.3614191897,1
2021-08-16,1113856.62136757,-0.0292564514058006,20828.3031371006,1
2021-08-17,1080068.50364995,-0.0303343510012408,20293.2896334445,1
2021-08-18,1080474.13484404,0.000375560617423087,20298.5322617923,1
2021-08-19,1132865.31514873,0.048489064768082,21220.792232554,1
2021-08-20,1188500.31149515,0.0491099829807357,22399.1814349101,1
2021-08-21,1173996.78417602,-0.0122032170954035,22178.2584754294,1
2021-08-22,1182892.78633371,0.00757753537113285,22371.6321886108,1
2021-08-23,1194801.76839798,0.0100676766329609,22458.3787128234,1
2021-08-24,1148466.91466356,-0.0387803692294052,21643.3257461977,1
2021-08-25,1177173.24306731,0.0249953464372628,22234.8815616909,1
2021-08-26,1126570.62031017,-0.0429865553393711,21267.4621093449,1
2021-08-27,1182973.66063959,0.0500661381653027,22272.5712751631,1
2021-08-28,1177246.15838818,-0.00484161435032567,22198.7383125903,1
2021-08-29,1173074.41401236,-0.0035436466248756,22144.8777636911,1
2021-08-30,1140946.74301104,-0.0273875813994026,21308.2433734005,1
2021-08-31,1160472.16049268,0.0171133469649172,21320.3563338113,1
2021-09-01,1226365.57319605,0.0567815540489957,22034.3224084629,1
2021-09-02,1230758.79280695,0.00358230833196881,22249.6303814753,1
2021-09-03,1257772.19438635,0.0219485749257103,22570.4373192078,1
2021-09-04,1251689.0095998,-0.00483647580515795,22539.797064576,1
2021-09-05,1290993.30574578,0.0314010076341141,23390.6846441403,1
2021-09-06,1305508.63121281,0.0112435327142497,23824.7226732741,1
2021-09-07,1156514.02132887,-0.114127632955996,21219.2999723873,1
2021-09-08,1147207.37650193,-0.00804715261147151,20822.9409253678,1
2021-09-09,1147115.41880875,-8.01578642740551E-05,21000.1447216352,1
2021-09-10,1100051.32007778,-0.0410282156087179,20324.3179442597,1
2021-09-11,1111035.10444908,0.00998479268269368,20462.8970204628,1
2021-09-12,1138541.56149683,0.0247575049047522,20831.7471725585,1
2021-09-13,1108343.1249871,-0.0265237893204605,20350.9702882628,1
2021-09-14,1161017.05095233,0.0475249268730232,21337.0950086041,1
2021-09-15,1195098.9857594,0.0293552405445848,21770.06841375,1
2021-09-16,1184108.94577649,-0.00919592444966109,21600.9944842012,1
2021-09-17,1161439.69714483,-0.0191445632705651,21435.1044368225,1
2021-09-18,1182711.2712394,0.0183148330015428,21893.6810695466,1
2021-09-19,1154185.81006434,-0.0241187023990793,21422.2974235305,1
2021-09-20,1046282.91100941,-0.0934883258085758,19519.3622902958,1
2021-09-21,986155.804670828,-0.0574673500884898,18495.7040662624,1
2021-09-22,1064632.25645553,0.0795781471984509,19742.8336599908,1
2021-09-23,1095374.49655906,0.0288759239794968,20347.6689369656,1
2021-09-24,1038275.45449465,-0.0521274160059206,19435.5790447639,1
2021-09-25,1035115.3439284,-0.00304361482549748,19372.5525353286,1
2021-09-26,1056040.041553,0.0202148463428124,19575.4746449843,1
2021-09-27,1025858.00743434,-0.0285803879882004,19129.0524366827,1
2021-09-28,994867.121358717,-0.0302097228378914,18627.839191909,1
2021-09-29,1007996.4421666,0.0131970597138158,18843.4876806221,1
2021-09-30,1063137.22304331,0.0547033487124118,19888.9246098096,1
2021-10-01,1169031.93146824,0.0996058703708995,21846.517992654,1
2021-10-02,1166554.18251144,-0.00211948783442387,21589.9958485282,1
2021-10-03,1179497.73589381,0.0110955441045217,21848.7279841067,1
2021-10-04,1195489.97934746,0.0135585198402533,22338.9269744458,1
2021-10-05,1247813.80375607,0.043767681295974,23365.0761237541,1
2021-10-06,1323230.8037233,0.0604393057203052,25163.2975581991,1
2021-10-07,1296370.37932366,-0.0202991226655701,24439.5004765323,1
2021-10-08,1297252.26888141,0.000680275924084336,24527.9086428043,1
2021-10-09,1316521.9430834,0.0148542227785855,24994.6758963869,1
2021-10-10,1297200.21743614,-0.0146763415139188,24896.8594040667,1
2021-10-11,1359751.05814221,0.0482198814533804,26191.1700718981,1
2021-10-12,1328455.6515268,-0.0230155412845702,25499.9258907015,1
2021-10-13,1363640.19662153,0.0264852989667305,26113.2329187943,1
2021-10-14,1379251.40840319,0.0114481897940069,26064.3817158939,1
2021-10-15,1465100.80797617,0.0622434742860773,28083.0998891413,1
2021-10-16,1447122.57490236,-0.012270987071971,27718.5447434076,1
2021-10-17,1460533.6788481,0.0092674277758708,28020.9444118697,1
2021-10-18,1460498.52959387,-2.40660347233983E-05,28266.0819016196,1
2021-10-19,1513500.92446286,0.0362906184395329,29305.9658083064,1
2021-10-20,1569699.77358613,0.0371316913091513,30051.5791208349,1
2021-10-21,1490619.77150912,-0.0503790619121669,28289.6638341761,1
2021-10-22,1456099.97784535,-0.0231580140848539,27596.3389734073,1
