date,account_value,reward,daily_return,daily_volatility,volatility,turbulence,window
2024-09-04,1000000.0,0.0,0.0,0.0,0.0,0.0,1
2024-09-05,975704.5540377601,,,0.0,0.29152758278741686,0.0003730832256837763,1
2024-09-06,933944.9892377602,,,0.0,0.18023732334448023,0.0009157587495934867,1
2024-09-07,940576.3364377603,,,0.0,0.1762710759948084,0.0001483220021424682,1
2024-09-08,948999.93963776,,,0.0,0.16300894432023205,0.0002310876766311391,1
2024-09-09,966922.4996377601,,,0.0,0.16487505222238683,0.0006483520409202939,1
2024-09-10,969252.43243776,,,0.0,0.15121540232945513,3.07117710325334e-05,1
2024-09-11,958498.8964377602,,,0.0,0.14713121916874955,0.00018031584602692778,1
2024-09-12,1008323.6132377601,,,0.0,0.16041814118636818,0.004903329848501981,1
2024-09-13,1026604.6244377601,,,0.0,0.16103366206457684,0.000498903188629866,1
2024-09-14,1067468.0612377604,,,0.0,0.167040649826177,0.0021849064213768383,1
2024-09-15,1022661.6612377601,,,0.0,0.17576778346079963,0.0025780180724935364,1
2024-09-16,1051337.7572377604,,,0.0,0.17896973192018223,0.0008864537472027724,1
2024-09-17,1046498.6660377601,,,0.0,0.17888463714944453,4.259504311516702e-05,1
2024-09-18,1048828.5988377603,,,0.0,0.16063648631428595,5.374591942993015e-07,1
2024-09-19,1051696.20843776,,,0.0,0.16038603897090728,1.4684895415072552e-05,1
2024-09-20,1048649.3732377603,,,0.0,0.15983878404321994,1.0991351138898833e-05,1
2024-09-21,1071052.57323776,,,0.0,0.1620647700965869,0.0006906420201056844,1
2024-09-22,1052233.88523776,,,0.0,0.16098981378076965,0.00044481888178091254,1
2024-09-23,1047932.4708377601,,,0.0,0.16094798228153986,1.3035788427862546e-05,1
2024-09-24,1059402.9092377601,,,0.0,0.15964546876447447,0.0002119797457888795,1
2024-09-25,1045064.86123776,,,0.0,0.1583598223642063,0.00025472824726308665,1
2024-09-26,1058327.55563776,,,0.0,0.15234303855467513,0.00023501248587165974,1
2024-09-27,1055280.72043776,,,0.0,0.15238703617780505,3.200063046077481e-05,1
2024-09-28,1100087.1204377604,,,0.0,0.1594478360373831,0.0026681642460378865,1
2024-09-29,1149194.93483776,,,0.0,0.1674733844167939,0.002476640980923082,1
2024-09-30,1095785.7060377602,,,0.0,0.1789547484684938,0.003388219694642227,1
2024-10-01,1069439.54283776,,,0.0,0.17623164505836786,0.0008315399211233767,1
2024-10-02,964771.7924377602,,,0.0,0.2109901705967285,0.012071754035315805,1
2024-10-04,1000000.0,0.0,0.0,0.0,0.0,0.0,2
2024-10-05,1000000.0,,,0.0,0.21360706031522844,4.627045371285403e-05,2
2024-10-06,1000000.0,,,0.0,0.20673791919905884,5.644282468609817e-05,2
2024-10-07,1000000.0,,,0.0,0.2070056020443228,9.676263619276704e-05,2
2024-10-08,1003170.4355210561,,,0.0,0.20679705742911975,1.2643753932035689e-05,2
2024-10-09,990862.3368563924,,,0.0,0.20600517594236925,0.00014037914845063486,2
2024-10-10,1002197.269307774,,,0.0,0.2065124229596922,0.00012298061948977896,2
2024-10-11,1017877.2591988521,,,0.0,0.20692854039265227,0.00021563746850590735,2
2024-10-12,1018821.8369031339,,,0.0,0.19617685066980253,4.2555918032002004e-08,2
