date,account_value,reward,daily_volatility,trade_count,volatility,turbulence,window
2022-12-27,761583.61207,0.740880012512207,7542.03391204698,0,0.1645531886329548,0.004081407960400269,10
2022-12-28,754792.2120700001,-0.6791399717330933,7472.306137288245,0,0.15941658692572233,0.001052878852524804,10
2022-12-29,760348.8120700002,0.5556600093841553,7510.19078649064,0,0.15949135299548614,0.0003633884082584711,10
2022-12-30,758805.3120700002,-0.15434999763965607,7498.190886093051,0,0.15767372304450125,5.248691194819085e-05,10
2022-11-03,1000000.0,0.0,0.0,0,0.0,0.0,11
2023-01-03,1000429.898873543,0.04298988729715347,7526.867764111592,1,0.1560948681247285,0.00023684685894891804,11
2023-01-04,1028672.19108891,2.8242292404174805,7596.991683139379,1,0.16637948492193308,0.02168914540914802,11
2023-01-05,1027643.7332546478,-0.10284578055143356,7590.052812773366,1,0.16616502786752071,0.0008960193023154932,11
2023-01-06,1028360.047173928,0.07163139432668686,7641.331012767926,2,0.1659480137393371,0.0008426290456747243,11
2023-01-07,1027842.1974750942,-0.05178496986627579,7638.7200809486985,1,0.16420382425457644,0.001373132604498965,11
2023-01-08,1038943.3140921108,1.1101117134094238,7716.387996994162,1,0.1728945497290231,0.015739597336147507,11
2023-01-09,1041979.901458237,0.30365872383117676,7734.276126845283,1,0.1728179093368384,0.018120876912546786,11
2023-01-10,1057780.0946715092,1.5800193548202515,7853.382638962369,0,0.1732840340570699,0.010005420973819169,11
2023-01-11,1088043.7269466256,3.0263631343841553,8076.5224957321,0,0.17284092957019814,0.017129739518918816,11
2023-01-12,1142438.7823625612,5.439505577087402,8495.330053262596,0,0.1722559343642707,0.20093314763657902,11
2023-01-13,1207763.232483221,6.532444953918457,8996.239311093645,1,0.17207423500726013,0.14447338948848795,11
2023-01-14,1269521.5880987353,6.175835609436035,9454.683696882135,1,0.17118427252818333,0.04008322282692068,11
2023-01-15,1264498.4042796793,-0.5023183822631836,9415.604015750781,1,0.12521510894925741,0.003131609421323637,11
2023-01-16,1283391.7970228319,1.8893393278121948,9559.095649520874,1,0.12017329312780743,0.006985747361955286,11
2023-01-17,1280333.809988252,-0.3057987093925476,9537.485404180474,1,0.11621810549464195,0.0018962631176253372,11
2023-01-18,1252795.2203280043,-2.753859043121338,9337.026376787324,1,0.11630133438105184,0.012031335366421411,11
2023-01-19,1276526.8215064143,2.3731601238250732,9512.050841083406,0,0.11102271387207584,0.0039490223506878815,11
2023-01-20,1372605.7250695287,9.607890129089355,10237.5168694182,0,0.11159020453992186,0.08727508441687729,11
2023-01-21,1379611.0393928215,0.7005314230918884,10300.65620482609,0,0.11468889318164775,0.018585125259569155,11
2023-01-22,1375054.634589284,-0.4556404948234558,10263.840193836915,0,0.11474924052569555,0.003913804223691133,11
2023-01-23,1387613.5000560987,1.2558865547180176,10361.73304179159,0,0.11379692284137966,0.005461217676553964,11
2023-01-24,1370517.7187993606,-1.7095781564712524,10244.553240860347,1,0.1155391585952615,0.03399015722792462,11
2023-01-25,1396292.2527299705,2.577453374862671,10432.369852867669,1,0.11645502671612756,0.008831356819383218,11
2023-01-26,1393203.8689269647,-0.3088383674621582,10411.11490885369,0,0.11742215479161669,0.0009685031962177557,11
2023-01-27,1397088.2838057305,0.3884414732456207,10441.386302496214,0,0.11622171362578869,0.004481095781152725,11
2023-01-28,1393970.5857881238,-0.3117698132991791,10423.083775394347,1,0.11710274499476014,0.005597465073184905,11
2023-01-29,1437306.5032478278,4.333591938018799,10743.476890222993,1,0.12020300956206882,0.012319207599466938,11
2023-01-30,1382141.3088410473,-5.516519546508789,10331.578690301347,0,0.1268609109465964,0.024936113829818866,11
2023-01-31,1400144.135696627,1.8002827167510986,10467.002402926384,0,0.12605771219281028,0.0018956464720585179,11
2023-02-01,1436777.594548914,3.6633458137512207,10739.64259543119,1,0.12616762191647984,0.008344103353664081,11
2023-02-02,1422164.3997318111,-1.4613194465637207,10622.925202966564,1,0.12658911664229536,0.01627864994404462,11
2023-02-03,1418729.4748791198,-0.3434924781322479,10589.46499989914,1,0.11995929826890242,0.013800760461157469,11
2023-02-04,1412378.9148246183,-0.6350560188293457,10539.85358661537,1,0.11953150293178523,0.004048330240240713,11
2023-02-05,1388649.7311426192,-2.3729183673858643,10363.074944417907,1,0.12062279378028329,0.007727626727488504,11
2023-02-06,1378307.4845239047,-1.0342246294021606,10286.914142094422,1,0.1220889187086764,0.002008248274878604,11
2023-02-07,1407289.3232565157,2.898183822631836,10497.525414525082,0,0.11471814239381092,0.008744740390795728,11
2023-02-08,1390470.2566978196,-1.6819067001342773,10372.549794839368,0,0.11572196445967944,0.0038258570355498285,11
2023-02-09,1319707.8630781004,-7.076239585876465,9851.480659976392,0,0.137097807499504,0.04155810875231894,11
2023-02-10,1309392.2716462372,-1.0315591096878052,9777.93229571683,0,0.13479035082943047,0.01139822571718534,11
2023-02-11,1323792.0820748992,1.4399809837341309,9883.038363873733,0,0.13516991984025978,0.0015756921754622245,11
2023-02-12,1319085.9174467532,-0.4706164598464966,9850.365061033131,0,0.1339264893809598,0.01311016292406349,11
2023-02-13,1318082.484137944,-0.10034333169460297,9852.602672533905,0,0.1419209221549041,0.058915869395399466,11
2023-02-14,1343770.2370346216,2.568775177001953,10041.778915813007,0,0.14181167232446504,0.01656417418028243,11
2023-02-15,1472172.618347276,12.840238571166992,11010.828985492217,0,0.1590061495598126,0.11879037822477662,11
2023-02-16,1423316.6780381326,-4.885593891143799,10642.500940779328,0,0.16499962262111376,0.02860592557921419,11
2023-02-17,1486877.7714734112,6.356109142303467,11123.665197066219,0,0.1607171443748899,0.015227851001108947,11
2023-02-18,1490691.5463859867,0.3813774883747101,11152.432740218113,0,0.15893308395154904,0.004076302392197416,11
2023-02-19,1468886.2944416096,-2.180525302886963,10986.684279770468,0,0.15614686485669682,0.007539214674309346,11
2023-02-20,1503325.8939066152,3.443959951400757,11249.198405623794,0,0.15495175817769938,0.004531795364235127,11
2023-02-21,1479748.9272757343,-2.357696771621704,11075.91364690466,0,0.15516865374380154,0.008203313354490935,11
2023-02-22,1463515.1262661538,-1.6233800649642944,10952.16049131961,0,0.1550663417860029,0.005180978644645677,11
2023-02-23,1448846.9917263251,-1.4668134450912476,10837.679475339728,0,0.15478515651499927,0.01488183062330026,11
2023-02-24,1403250.6667313157,-4.559632301330566,10492.979855811534,0,0.15458597844824493,0.011719342815743865,11
2023-02-25,1401553.7577292416,-0.16969090700149536,10482.507359943358,0,0.15440892743380966,0.0024513672754181023,11
